"","id","education","gender","age","rural","internet_acc","workers","dist_to_market","mth_income"
"207",207,2,0,39.266922821058,1,3,15,14,51659658.4242367
"208",208,2,1,44.1543979237322,0,1,12,17,52348300.8993133
"209",209,1,1,50.6181912634056,1,1,20,14,44744009.0864381
"210",210,2,0,48.8782417629845,0,1,11,11,44167301.4616069
"211",211,2,0,47.0840590081643,0,3,14,8,45450397.3496651
"212",212,4,0,45.0062801134773,1,2,10,10,59776816.4772306
"213",213,2,0,41.8580618405249,1,3,11,12,46607533.4126114
"214",214,1,1,35.174003473483,1,1,19,11,35702111.8088157
"215",215,2,1,20.811706955079,1,3,13,11,57759077.6442852
"216",216,2,1,34.3945883088745,0,2,16,13,40596687.2717645
"217",217,1,1,61.4770777737722,1,1,12,12,27699308.1513321
"218",218,1,1,58.9598233585712,1,1,8,10,22305944.2956281
"219",219,3,1,41.8057712698355,0,2,12,17,63752575.3078408
"220",220,3,1,38.1296742795967,0,3,14,9,68548129.0524982
"221",221,4,0,45.1602135966532,0,2,17,14,64310014.4110821
"222",222,1,1,33.0461853831075,1,3,11,15,44897358.4896733
"223",223,2,1,41.1499805648346,1,3,17,12,43623689.1573263
"224",224,3,1,59.8245773734525,0,1,17,11,60586270.6845709
"225",225,2,1,35.6736769194249,1,2,10,17,51309394.3902936
"226",226,1,1,34.8913113817107,0,1,14,12,38284323.9306628
"227",227,1,0,59.9085750239901,0,1,10,11,37007979.1031823
"228",228,2,1,47.4919578714762,1,3,14,10,49858932.6892287
"229",229,4,1,56.5060128979385,0,1,17,12,58137319.0401262
"230",230,2,1,54.2288741231896,1,1,15,11,35287517.3588918
"231",231,2,0,57.4491828805767,1,3,13,12,45026919.3158234
"232",232,2,1,32.339486525394,0,1,13,13,54194039.2324177
"233",233,1,1,46.2917904299684,0,1,14,21,36754077.440639
"234",234,2,1,51.6263792028185,1,3,14,11,45278078.8263971
"235",235,1,1,27.1510262107477,1,3,13,12,37306783.052014
"236",236,1,0,50.0645498835947,0,1,13,6,44418533.847741
"237",237,3,0,39.6489675047342,0,1,13,13,62377727.2756448
"238",238,2,1,33.0352549201343,0,3,16,9,62724657.5658118
"239",239,2,1,52.0824669462163,1,1,10,11,47797103.094066
"240",240,2,0,26.698397455737,0,1,19,11,50149812.4054595
"241",241,2,0,27.6677707766648,0,3,15,16,61230318.6692713
"242",242,2,1,22.0456502176821,0,1,11,17,45177280.6577557
"243",243,1,0,57.5698646660894,1,1,16,14,31741970.2646136
"244",244,3,0,33.3443596451543,0,1,15,14,66726172.3752104
"245",245,1,1,28.0821517065633,1,1,12,15,30388154.8313723
"246",246,2,1,57.7754108365625,0,2,13,17,47095303.9197387
"247",247,1,1,57.542580122361,1,3,8,14,34425535.6983426
"248",248,1,1,27.4316387486178,0,2,20,12,47660562.421565
"249",249,1,0,35.7522959448397,0,2,15,9,45482379.429258
"250",250,3,1,47.9014795341063,0,1,16,16,59330559.3503707
"251",251,1,1,33.3735598910134,0,3,16,13,59597818.9072006
"252",252,2,1,60.0971253626049,0,2,14,9,58408815.6145508
"253",253,3,1,52.1973823327571,1,1,17,18,62112620.4352387
"254",254,2,0,55.1183569105342,0,1,13,12,53828266.851489
"255",255,2,1,61.1151531785727,1,3,22,12,51878922.4119672
"256",256,2,1,47.7149052182212,0,3,16,11,46761561.1933332
"257",257,2,0,44.6881559521426,1,3,10,10,51772030.9969503
"258",258,2,0,56.7039266554639,1,1,16,13,50340846.0407071
"259",259,3,1,25.3222145964392,0,3,16,11,70648828.3850119
"260",260,1,1,42.6072268004064,1,2,16,11,38480333.4545169
"261",261,1,1,57.1536979260854,1,2,17,10,40971560.751846
"262",262,2,1,49.2822478101589,0,1,10,10,55088718.8462121
"263",263,2,0,49.3320302253123,0,1,14,13,53897981.8799963
"264",264,1,1,29.7346047414467,0,2,18,8,45491312.2681916
"265",265,1,0,47.7463087928481,1,2,15,12,46148525.3118983
"266",266,2,1,46.3678396276664,1,1,10,11,35982684.5250067
"267",267,1,0,59.6230341379996,0,1,17,10,22638510.7834433
"268",268,1,1,28.253113809973,1,1,14,17,33677138.5418339
"269",269,2,1,41.4959535703529,1,2,18,17,46289423.3305114
"270",270,2,1,30.4868976322468,0,2,14,17,42457742.3973172
"271",271,2,1,59.0794355922844,0,1,13,7,38246699.2119103
"272",272,2,1,46.5276588494889,0,1,15,13,44430949.8824874
"273",273,2,1,60.9249218925834,0,2,14,9,38950101.0262408
"274",274,2,0,37.5423700509127,0,1,12,6,45226912.2943474
"275",275,2,1,22.5771814498585,0,1,14,12,60379693.8904637
"276",276,1,1,30.3776248497888,0,1,14,10,45116981.5040588
"277",277,1,1,44.1748225486372,0,2,16,13,44025748.6346367
"278",278,2,1,36.277057493804,1,2,15,13,32843004.7925069
"279",279,1,1,19.7520264890045,0,2,14,11,39791274.4930561
"280",280,4,1,20.0234854936134,0,1,19,11,66140789.6599681
"281",281,1,1,36.5066690403037,1,1,14,9,44183048.790975
"282",282,3,1,60.3843892451841,1,3,13,9,47502929.4730862
"283",283,1,1,19.361571341753,1,1,13,12,31561553.199727
"284",284,2,1,21.7468867059797,1,3,19,8,56815494.7348414
"285",285,1,0,48.6053910795599,1,2,13,11,39473609.179243
"286",286,2,1,58.2631559115835,1,1,14,16,29393593.6209087
"287",287,1,0,53.4676281837747,1,2,15,20,41416461.3911322
"288",288,2,0,57.336550175678,0,1,20,7,44888167.7460905
"289",289,2,0,48.833792189369,0,2,10,11,47899712.8565768
"290",290,4,0,38.9353328093421,1,3,14,21,77237274.4583288
"291",291,3,1,19.2457395025995,0,1,12,15,57467575.1381631
"292",292,1,0,25.6403343125712,1,2,16,10,46724041.4559294
"293",293,1,0,36.5609207362868,1,2,10,8,47111626.4323981
"294",294,3,1,28.2754415022209,1,3,11,12,58739404.5802459
"295",295,3,0,50.2281323599163,0,1,13,9,54889964.1085826
"296",296,2,1,19.6867026842665,1,1,18,7,54244176.2870303
"297",297,2,0,26.9408034568187,1,1,12,10,44630763.5673387
"298",298,2,1,46.6958704537246,0,3,13,12,53728105.3442544
"299",299,4,1,60.1714721678291,0,3,13,13,63563663.257811
"300",300,3,1,41.9448800522368,0,2,12,15,57042707.4610175
"301",301,3,1,28.6016193595715,1,1,18,11,55379166.55064
"302",302,2,0,42.1790904712398,0,2,11,19,51784915.6290163
"303",303,2,1,30.2001781768631,1,1,12,9,40642796.2406659
"304",304,2,1,53.3185344149824,0,1,20,11,47346953.7006544
"305",305,1,1,49.5395091278479,1,3,17,12,45000908.6020324
"306",306,1,0,50.905532376375,1,1,20,12,38044239.5478615
"307",307,1,1,49.363288589986,1,1,12,12,31470468.6518515
"308",308,2,0,40.7380568108056,1,2,15,9,54881642.6632664
"309",309,1,0,55.0700409817509,1,1,16,19,29799463.7239398
"310",310,4,1,47.2968833569903,0,3,10,15,55812409.3388009
"311",311,4,1,35.9675250682048,0,2,15,13,73356548.9137883
"312",312,2,0,35.4814945498947,0,1,16,16,56998412.0299415
"313",313,4,1,55.1001781541854,0,3,15,10,65305526.0454429
"314",314,3,1,21.715491210809,1,1,14,7,45977056.3909134
"315",315,3,1,40.3962612645701,0,3,14,12,71298218.3989213
"316",316,1,0,52.8421882111579,0,1,17,11,29579494.8099265
"317",317,2,1,48.573059078306,0,1,14,13,55133711.6086652
"318",318,2,1,58.1099234388676,0,3,11,9,42801274.1018383
"319",319,2,0,32.0329497258645,1,1,18,13,40444290.1707083
"320",320,1,0,20.0717786357272,0,2,18,13,60126827.1039438
"321",321,3,1,47.7181351685431,1,3,15,10,58433068.733801
"322",322,3,0,42.8825130243786,0,3,17,14,76961921.9622574
"323",323,2,1,25.854919422185,0,2,9,16,38157203.6019385
"324",324,2,1,47.5967915884685,1,2,10,9,45037846.7683772
"325",325,1,0,54.2703503067605,0,1,15,13,36495607.3324864
"326",326,3,1,54.8880133172497,0,1,13,17,49578796.6027671
"327",327,4,1,39.7315943508875,1,1,10,14,65499448.8262062
"328",328,2,1,39.3770520158578,0,2,11,6,55425115.5848828
"329",329,4,1,28.3098802892491,0,3,15,14,70673664.9981761
"330",330,3,0,27.181465416681,0,3,22,13,64584626.5776912
"331",331,3,1,58.854267135961,0,3,13,13,54981885.9776159
"332",332,1,0,30.9520740429871,0,1,11,16,42270233.1381825
"333",333,4,0,36.7540419145953,0,3,12,20,71978735.6932389
"334",334,2,1,33.8603021723684,0,3,19,14,72286743.5400134
"335",335,3,1,32.1461065041367,1,3,11,14,58560328.7264822
"336",336,3,1,46.6837098409887,1,1,17,8,60721418.0123305
"337",337,2,1,28.9273672737181,1,2,15,10,54967589.3719694
"338",338,4,1,57.4116677630227,0,1,6,15,53020465.628068
"339",339,4,0,21.4500362533145,0,1,13,9,59633658.7511865
"340",340,2,1,37.9185331508052,0,3,12,14,65560710.0943724
"341",341,2,0,60.4553170287982,1,2,16,14,46369093.2199759
"342",342,3,1,44.929965064628,0,1,14,10,59406627.6467194
"343",343,3,0,22.1092753843404,0,1,13,14,52058078.6089901
"344",344,1,1,36.703452274669,1,3,17,15,54755551.6813738
"345",345,1,0,38.8223324241117,1,1,15,12,30568773.2968003
"346",346,2,1,38.2728582015261,1,3,15,10,67290736.3785859
"347",347,4,0,25.2723593260162,0,2,14,18,72732052.6056777
"348",348,3,0,44.17727088416,0,2,18,12,68657080.3543334
"349",349,2,0,49.3709231154062,0,1,11,14,53657891.6711241
"350",350,1,0,49.4207019463647,1,2,11,8,45727351.3318231
"351",351,2,0,21.7189789228141,0,3,14,14,61025998.8287332
"352",352,2,1,35.7836741898209,1,1,14,12,49187030.4219734
"353",353,1,0,51.6100025356282,1,3,4,9,30960135.3781065
"354",354,2,0,21.6621367249172,0,1,13,8,46289691.0928645
"355",355,2,1,53.740047622472,0,1,17,10,46061359.7295015
"356",356,2,1,31.4841772245709,1,3,14,15,51918249.4514289
"357",357,2,1,41.442157657817,0,1,13,13,47739309.3860122
"358",358,2,0,40.4918151204474,1,2,17,13,64469364.4713705
"359",359,2,0,51.6858401556965,0,1,14,11,53080335.2643246
"360",360,3,1,20.2901819040999,0,3,10,13,59074293.4599356
"361",361,1,1,50.9840034986846,1,1,24,10,38196492.5300641
"362",362,1,0,49.3051630901173,1,1,11,18,32726865.3630076
"363",363,1,0,52.3357356109191,1,3,19,16,47977748.530826
"364",364,2,1,57.7654187118169,0,1,17,19,48422419.8752894
"365",365,2,1,35.9899164349772,0,3,12,13,49549667.298267
"366",366,3,1,49.7014091149904,0,3,9,8,59477495.0533389
"367",367,2,1,24.8636963984463,0,1,12,11,49608520.5991848
"368",368,2,1,30.3819942937698,0,3,14,13,61598725.3259621
"369",369,2,1,48.7876417550724,0,3,13,8,50466246.8888074
"370",370,3,1,40.5260366932489,0,2,10,12,62653503.9327368
"371",371,3,1,59.1565688387491,0,1,10,10,46164804.5622417
"372",372,1,1,45.2497854412068,0,2,16,13,44941323.8761519
"373",373,1,1,25.0649168360978,1,1,13,9,42234596.9427494
"374",374,2,1,33.8334500046913,1,1,11,15,56138428.5134101
"375",375,2,1,20.3511185441166,1,1,15,12,46807828.1574742
"376",376,2,1,52.1988414104562,0,3,17,15,56787579.6548582
"377",377,4,1,39.2596088708378,0,2,19,16,72476852.1805635
"378",378,2,1,32.8689478849992,0,1,22,13,53068715.7632544
"379",379,2,1,35.160025583813,0,1,18,13,62461738.4672031
"380",380,2,1,37.9096880285069,1,2,15,8,52672058.5391582
"381",381,1,1,31.1692467411049,1,2,16,13,48969676.0304115
"382",382,1,0,60.1444387480151,0,2,10,12,35930943.8407833
"383",383,2,0,60.8919808985665,0,3,10,11,48609475.7965768
"384",384,2,1,59.503070382867,1,1,15,17,37437872.8389647
"385",385,3,1,42.3621339446399,0,1,15,9,63058374.2809417
"386",386,2,1,27.8511257746723,0,1,14,13,51484580.2856531
"387",387,2,1,53.3420523502864,1,1,13,17,43556672.2888606
"388",388,2,1,26.354305872228,1,1,12,10,45156655.0885508
"389",389,2,1,22.5823144474998,1,3,12,13,54494334.7721733
"390",390,2,1,20.3798854127526,1,1,10,10,49057786.9707683
"391",391,1,1,50.9643977622036,1,1,16,12,34796664.0764081
"392",392,1,0,56.9431882363278,1,1,15,9,30592723.376646
"393",393,1,0,44.7635490419343,1,1,11,11,30858982.0856688
"394",394,3,0,27.1017250288278,1,3,19,19,65153260.4233039
"395",395,2,1,23.1639760420658,0,1,18,9,46561194.1923984
"396",396,2,1,28.7364300214685,0,1,15,10,56726524.310788
"397",397,3,1,31.2705990734976,0,3,13,16,62895913.7813354
"398",398,1,0,61.1824808286037,1,3,21,17,43123208.3559666
"399",399,2,0,29.7625993862748,0,2,13,11,54165111.0514003
"400",400,2,1,37.6918681729585,1,3,12,4,56221230.0691507
"401",401,2,1,51.5643872476649,1,3,15,13,55315303.8751742
"402",402,4,1,20.2174276527949,1,3,8,12,60763212.6654949
"403",403,1,1,50.9551744672935,0,2,13,10,38733418.0623629
"404",404,2,1,39.9148941442836,1,2,12,10,42893261.35253
"405",405,2,0,40.0456208463293,0,2,17,11,57618478.8636031
"406",406,4,1,36.8416022248566,0,3,12,10,76662164.5228075
"407",407,2,1,52.2578540786635,1,3,11,14,47380162.9782428
"408",408,2,1,42.8267190132756,1,3,9,12,54560451.2646195
"409",409,2,0,40.8097975659184,0,3,14,11,66757141.933548
"410",410,2,1,36.4866770817898,1,1,14,15,44004759.443323
"411",411,2,1,34.7326412647963,1,1,19,8,49621452.1215883
"412",412,3,0,53.5669908474665,1,1,14,7,49832827.4244839
"413",413,4,0,32.8376004560851,1,1,8,14,61486953.6643111
"414",414,3,0,31.0989062748849,0,1,18,11,60420351.8428361
"415",415,2,0,42.8640696483199,0,1,17,16,59847156.4259918
"416",416,3,0,50.7340526971966,1,1,16,9,63959546.8993859
"417",417,4,1,59.1811360721476,0,2,19,18,80497533.3732651
"418",418,2,0,39.6793484725058,0,1,14,17,49550263.4393521
"419",419,2,1,57.1035983897746,0,1,8,17,34106661.8450367
"420",420,2,1,58.6017673611641,0,3,20,22,61012659.3452524
"421",421,4,1,41.7751447046176,0,3,10,15,61150215.0486403
"422",422,4,0,25.9140998567455,1,1,8,14,65712915.8083442
"423",423,2,0,54.6918081894983,0,3,15,11,55133033.2776885
"424",424,2,1,50.3682297794148,1,1,17,9,38849314.3589579
