"","id","gender","age","education","district","mth_income","voted_for","satisfaction","support_incumbent"
"67",67,"Male",64.8485915949568,"University","West",16924186.3364367,0,"High","Indifferent"
"68",68,"Female",25.9320402038284,"University","Central",13380241.6689844,0,"Medium","Unlikely"
"69",69,"Male",31.1216919245198,"University","North",14061933.6603826,0,"Medium","Very Unlikely"
"70",70,"Female",24.5228057126515,"University","West",13182715.2460172,0,"Low","Indifferent"
"71",71,"Female",63.3622314813547,"High School","West",10855129.9500231,0,"Medium","Indifferent"
"72",72,"Female",46.6305796080269,"Postgraduate","Central",25717021.5341922,1,"Low","Unlikely"
"73",73,"Male",27.0447497577406,"High School","Central",7530262.65566263,0,"Very Low","Very Unlikely"
"74",74,"Female",29.1386991809122,"University","Central",13809309.1967068,1,"Very High","Unlikely"
"75",75,"Male",63.2889164565131,"University","Central",16849449.4206555,1,"High","Very Unlikely"
"76",76,"Female",27.7028055759147,"High School","Southeast",7619821.66698479,0,"Very Low","Very Unlikely"
"77",77,"Female",23.0517534199171,"Doctorate","West",36971253.107954,1,"Medium","Very Unlikely"
"78",78,"Male",51.4624551981688,"University","Southeast",16114972.9765485,0,"Low","Very Unlikely"
"79",79,"Female",34.8219663733616,"University","North",14509643.4257758,1,"Low","Indifferent"
"80",80,"Female",37.6135184802115,"University","Central",14826000.866545,1,"Medium","Very Unlikely"
"81",81,"Male",56.789582121186,"High School","North",10487514.4590919,0,"Medium","Indifferent"
"82",82,"Male",34.8065392305143,"University","Southeast",14507323.087006,1,"High","Very Unlikely"
"83",83,"Male",35.9287907583639,"University","North",14636755.5908912,1,"High","Very Likely"
"84",84,"Male",28.6018098848872,"University","West",13739298.660087,1,"Very High","Unlikely"
"85",85,"Female",57.4997998527251,"University","Southeast",16532707.9814055,0,"Very Low","Very Unlikely"
"86",86,"Male",30.2413494382054,"High School","West",7950264.7184085,0,"Medium","Very Unlikely"
"87",87,"Male",23.2546853921376,"High School","Central",7003093.63889415,0,"Medium","Indifferent"
"88",88,"Male",31.0047361128964,"High School","Central",8048004.62836875,0,"Low","Very Unlikely"
"89",89,"Male",57.41937101027,"University","Central",16527246.4638201,1,"Low","Unlikely"
"90",90,"Male",42.0847115078941,"University","Southeast",15292085.2339196,1,"High","Unlikely"
"91",91,"Female",51.473993698135,"University","Central",16115810.3694748,0,"Medium","Very Unlikely"
"92",92,"Male",41.2339870994911,"University","West",15205632.2161318,1,"Low","Indifferent"
"93",93,"Female",60.2057792465203,"University","Southeast",16692219.0106487,1,"Low","Very Unlikely"
"94",94,"Male",45.86987088155,"University","Southeast",15648426.8515595,1,"Medium","Unlikely"
"95",95,"Female",59.3009146461263,"University","North",16640114.9130632,1,"High","Indifferent"
"96",96,"Female",59.5159245412797,"Postgraduate","West",26652376.4839147,0,"Low","Very Unlikely"
"97",97,"Male",58.728696343489,"Postgraduate","West",26606541.5874904,1,"Medium","Indifferent"
"98",98,"Male",25.5450245067477,"Postgraduate","Central",23325078.742302,1,"Very High","Very Unlikely"
"99",99,"Female",47.7834227019921,"University","Central",15817141.4625735,1,"Medium","Very Unlikely"
"100",100,"Female",49.1864179405384,"High School","Central",9934256.55061817,0,"Low","Very Unlikely"
"101",101,"Male",38.9731715889648,"High School","North",8973570.59426332,0,"Low","Likely"
"102",102,"Male",51.5038966545835,"High School","West",10116837.5230653,1,"Medium","Likely"
"103",103,"Female",51.9255436249077,"University","West",16149604.2823347,1,"Very High","Likely"
"104",104,"Male",27.1001497441903,"High School","Central",7540067.50470848,1,"High","Indifferent"
"105",105,"Male",64.6388024715707,"University","Central",16914340.9839904,1,"Very High","Indifferent"
"106",106,"Female",57.8064853860997,"University","North",16551023.2239794,0,"Very Low","Likely"
"107",107,"Male",61.0808534356765,"Postgraduate","Southeast",26739693.5757026,1,"Very High","Indifferent"
"108",108,"Male",29.8703726120293,"University","Central",13903871.7807567,1,"Very High","Very Unlikely"
"109",109,"Male",63.0516776158474,"High School","North",10840163.8432656,0,"Medium","Unlikely"
"110",110,"Female",25.9680832745507,"University","Central",13384867.9881441,1,"Very High","Very Unlikely"
"111",111,"Male",41.1232921909541,"University","West",15194932.3571928,0,"Very Low","Very Likely"
"112",112,"Male",51.4548744484782,"High School","Central",10114508.2840698,1,"Medium","Indifferent"
"113",113,"Male",27.9468199238181,"University","Southeast",13652179.576609,0,"Very Low","Indifferent"
"114",114,"Female",32.7717882166617,"High School","Southeast",8265478.8903973,0,"Very Low","Indifferent"
"115",115,"Female",31.015535925515,"High School","Southeast",8048156.45297639,1,"High","Indifferent"
"116",116,"Male",58.8430952304043,"Postgraduate","North",26614097.4815518,0,"Medium","Unlikely"
"117",117,"Female",31.5162390857004,"Postgraduate","North",24110395.4541339,1,"Medium","Very Unlikely"
"118",118,"Female",45.9801647090353,"High School","Central",9658998.41824235,1,"Low","Likely"
"119",119,"Female",29.7880012718961,"University","North",13893373.0761091,0,"Very Low","Very Unlikely"
"120",120,"Male",40.7421851810068,"Postgraduate","North",25156119.5224194,1,"Medium","Unlikely"
"121",121,"Male",35.6150282835588,"University","North",14600542.0570602,1,"Very High","Very Unlikely"
"122",122,"Male",64.0158591163345,"High School","West",10885508.7683026,0,"Medium","Very Unlikely"
"123",123,"Male",62.2331035770476,"Postgraduate","Central",26798618.6671828,1,"High","Indifferent"
"124",124,"Female",35.1721011837944,"University","Southeast",14549335.1528378,1,"Medium","Indifferent"
"125",125,"Female",46.6061209687032,"University","North",15713724.283347,0,"Medium","Very Likely"
"126",126,"Male",64.0698605850339,"High School","Central",10888020.7176928,1,"Medium","Indifferent"
"127",127,"Male",40.9390545268543,"Doctorate","Central",39176499.0715073,1,"Very High","Unlikely"
"128",128,"Female",50.6213558744639,"High School","North",10049117.7903071,1,"Very High","Indifferent"
"129",129,"Male",64.4691328261979,"Postgraduate","Central",26905795.7734558,0,"Low","Likely"
"130",130,"Male",35.8099286700599,"University","North",14622735.8993815,0,"Very Low","Indifferent"
"131",131,"Male",54.1655381638557,"Postgraduate","Central",26311307.4365579,1,"High","Indifferent"
"132",132,"Male",54.5084361284971,"University","Southeast",16337610.8872587,1,"Very High","Likely"
"133",133,"Female",59.9554376848973,"High School","Central",10677654.5260528,0,"Low","Very Unlikely"
"134",134,"Female",56.5336363380775,"High School","Central",10471967.1867236,1,"Medium","Unlikely"
"135",135,"Female",61.8463486828841,"High School","North",10778714.5163995,0,"Low","Indifferent"
"136",136,"Female",60.8548031868413,"Doctorate","Southeast",40726657.2327404,1,"High","Unlikely"
"137",137,"Male",44.2134333723225,"High School","Central",9496431.65433503,0,"Low","Indifferent"
"138",138,"Male",38.203348568175,"University","Central",14889589.998977,1,"Very High","Very Unlikely"
"139",139,"Male",28.6527080922388,"Postgraduate","Central",23746014.0341745,0,"Very Low","Unlikely"
"140",140,"Male",42.4455111040734,"University","West",15326935.0630845,0,"High","Indifferent"
"141",141,"Female",51.5334571935236,"Postgraduate","Central",26120493.8830304,1,"Medium","Very Unlikely"
"142",142,"Female",26.3525765566155,"High School","Central",7436746.87056969,0,"Very High","Indifferent"
"143",143,"Female",40.6613904321566,"University","West",15148266.6387301,0,"Medium","Unlikely"
"144",144,"Male",34.9927187664434,"High School","Central",8527787.08777489,0,"Medium","Likely"
"145",145,"Male",28.8775707930326,"Postgraduate","West",23774881.1064881,1,"Very High","Indifferent"
"146",146,"Female",47.3667327375151,"University","Southeast",15780504.4366848,0,"Low","Indifferent"
"147",147,"Male",44.616830015555,"Postgraduate","North",25535057.7788972,1,"Low","Unlikely"
"148",148,"Male",57.3400091226213,"University","West",16521813.8280719,0,"High","Indifferent"
"149",149,"Male",24.4108914551325,"University","Central",13167634.3426848,0,"Low","Indifferent"
"150",150,"Male",23.9409037497826,"High School","North",7100192.33631248,1,"Medium","Indifferent"
"151",151,"Male",64.1484070699662,"High School","North",10891227.0654927,0,"High","Unlikely"
"152",152,"Male",42.4094111300074,"High School","Southeast",9322072.94908557,0,"Very High","Unlikely"
"153",153,"Female",27.6667568921112,"Doctorate","Central",37615312.3409034,0,"Low","Unlikely"
"154",154,"Female",47.9875175403431,"University","Central",15834133.8128853,1,"Medium","Unlikely"
"155",155,"Male",28.5819231197238,"University","Central",13736265.8451693,1,"High","Indifferent"
"156",156,"Male",54.8284558588639,"Postgraduate","Central",26359616.9620594,1,"Very Low","Very Unlikely"
"157",157,"Female",36.9884339496493,"University","North",14755366.0095801,0,"Low","Indifferent"
"158",158,"Male",43.548740867991,"High School","North",9433982.88900383,0,"Very Low","Indifferent"
"159",159,"Male",47.2484986102208,"University","North",15770074.8981759,0,"Very Low","Very Unlikely"
"160",160,"Male",47.5825058845803,"Postgraduate","West",25800482.0004697,0,"Very Low","Indifferent"
"161",161,"Female",31.142424446065,"University","Central",14064432.2251219,0,"Low","Indifferent"
"162",162,"Male",32.1936350390315,"University","North",14194843.4960226,0,"Medium","Very Unlikely"
"163",163,"Female",42.2784913610667,"University","Southeast",15311254.8327878,1,"Very Low","Indifferent"
"164",164,"Male",58.6240804800764,"University","Central",16601658.5887123,0,"High","Very Unlikely"
"165",165,"Female",48.2294322634116,"University","Southeast",15853643.1237019,1,"High","Indifferent"
"166",166,"Female",25.0195241034962,"High School","Central",7252659.84875483,0,"Very Low","Unlikely"
"167",167,"Female",33.1719479798339,"Postgraduate","Central",24314231.9217916,1,"Low","Unlikely"
"168",168,"Female",55.6817193944007,"High School","North",10415506.8758561,0,"Low","Very Unlikely"
"169",169,"Female",51.1107550910674,"University","West",16087694.1453426,0,"Medium","Unlikely"
"170",170,"Male",40.3996762791649,"University","North",15121800.2647231,0,"Medium","Likely"
"171",171,"Female",55.9974932004698,"University","Central",16437104.7245126,0,"Medium","Unlikely"
"172",172,"Female",37.5436470904388,"University","North",14817879.6109683,0,"Low","Unlikely"
"173",173,"Female",64.9742382066324,"Postgraduate","Central",26928835.4921524,0,"Medium","Very Unlikely"
"174",174,"Female",58.7009402927943,"University","North",16604845.8267325,1,"High","Very Likely"
"175",175,"Female",54.7925701402128,"University","North",16356323.2564495,1,"Medium","Indifferent"
"176",176,"Female",33.7755649588071,"High School","North",8385288.00907152,1,"Medium","Indifferent"
"177",177,"Male",44.604359196499,"University","Central",15532646.6315223,0,"Low","Unlikely"
"178",178,"Male",36.9655707064085,"University","Southeast",14753370.5206168,0,"Low","Very Unlikely"
"179",179,"Male",61.8260685033165,"University","West",16778774.2324384,0,"Medium","Very Unlikely"
"180",180,"Male",31.3878898438998,"University","North",14095974.2690701,1,"Very High","Indifferent"
"181",181,"Male",38.8531073429622,"Doctorate","Central",38959231.3369744,0,"Medium","Very Unlikely"
"182",182,"Female",57.3534512100741,"Doctorate","Southeast",40523111.7962549,1,"Medium","Likely"
"183",183,"Female",29.8337935996242,"University","North",13897989.1652502,0,"High","Unlikely"
"184",184,"Female",44.6077396990731,"High School","North",9534387.13901272,0,"Low","Very Likely"
"185",185,"Male",51.0917791510001,"University","Central",16086101.8714727,1,"High","Very Unlikely"
"186",186,"Female",59.9494242072105,"Postgraduate","Central",26676625.2483071,0,"Low","Very Unlikely"
"187",187,"Female",56.9616199978627,"Postgraduate","Central",26499245.2667914,1,"Very High","Indifferent"
"188",188,"Female",42.297454402782,"Postgraduate","North",25312194.4039859,0,"Low","Indifferent"
"189",189,"Female",25.1898863385431,"University","Southeast",13276593.5841128,1,"Very Low","Unlikely"
"190",190,"Female",27.2060269960202,"Postgraduate","Central",23553404.3626108,1,"High","Unlikely"
"191",191,"Female",61.743058944121,"Postgraduate","Southeast",26774269.481998,1,"Very High","Very Unlikely"
"192",192,"Male",29.8872786061838,"University","Central",13906416.3670503,1,"High","Very Unlikely"
"193",193,"Male",53.1859371969476,"Postgraduate","West",26242117.6230963,1,"High","Likely"
"194",194,"Male",41.0700552747585,"University","North",15190390.9437451,1,"Medium","Very Unlikely"
"195",195,"Male",54.5459487410262,"University","North",16339435.5961807,0,"Medium","Very Unlikely"
"196",196,"Male",28.6534939236008,"High School","Central",7744435.66163231,0,"Low","Likely"
"197",197,"Female",28.8683179025538,"Postgraduate","North",23772917.3568174,1,"Medium","Unlikely"
"198",198,"Female",46.2840812527575,"University","North",15686683.4181819,0,"Medium","Unlikely"
"199",199,"Female",53.1322350599803,"High School","North",10238474.7916854,1,"Low","Unlikely"
"200",200,"Female",56.7584795495495,"University","Central",16486057.3678626,0,"Very High","Indifferent"
"201",201,"Male",40.8315278408118,"High School","Southeast",9165802.8070698,0,"Low","Very Unlikely"
"202",202,"Male",60.0295479972847,"Postgraduate","North",26681903.0911019,0,"Low","Very Unlikely"
"203",203,"Male",27.0004405938089,"High School","North",7524925.60398971,0,"Very High","Very Unlikely"
"204",204,"Female",43.3719684062526,"High School","Southeast",9416710.34279655,0,"Low","Unlikely"
"205",205,"Male",59.3251305539161,"High School","Southeast",10641015.6757082,0,"Medium","Unlikely"
"206",206,"Female",32.3094191541895,"University","North",14208915.9351709,0,"Low","Indifferent"
"207",207,"Female",47.5174426073208,"University","North",15793345.8967047,0,"Low","Very Likely"
"208",208,"Female",39.2113333414309,"University","West",14997090.2205382,1,"Medium","Very Unlikely"
"209",209,"Female",37.8311981484294,"High School","North",8848955.82728267,1,"Very Low","Likely"
"210",210,"Male",24.0385420350358,"High School","Central",7114843.84277286,0,"Medium","Likely"
"211",211,"Male",63.86665960541,"Doctorate","North",40879764.3536245,1,"High","Unlikely"
"212",212,"Female",27.3826321214437,"Doctorate","Central",37576163.1810206,0,"Very Low","Very Unlikely"
"213",213,"Male",42.3588141808286,"High School","Central",9318429.93528359,1,"Very High","Likely"
"214",214,"Female",55.6328408694826,"Postgraduate","North",26411584.7650714,1,"Very High","Unlikely"
"215",215,"Male",28.5067761964165,"University","West",13726188.6269207,1,"Very High","Unlikely"
"216",216,"Male",33.7380651272833,"High School","Southeast",8381449.15774236,0,"Very Low","Very Unlikely"
"217",217,"Female",25.0463175401092,"Postgraduate","Central",23257250.1026812,1,"Very High","Indifferent"
"218",218,"Female",63.512389626354,"Postgraduate","West",26862355.7196168,0,"Very Low","Indifferent"
"219",219,"Female",57.7511561792344,"Doctorate","North",40547516.8250279,1,"Low","Indifferent"
"220",220,"Male",45.2621791381389,"High School","North",9593105.03456512,0,"Low","Very Likely"
"221",221,"Female",31.9186330996454,"University","West",14161417.3544292,0,"Medium","Likely"
"222",222,"Female",23.7314612097107,"University","North",13070028.8726676,1,"Very High","Indifferent"
"223",223,"Female",45.8900337731466,"University","Southeast",15651693.143498,0,"Very Low","Very Unlikely"
"224",224,"Male",30.3971846573986,"University","Central",13972034.0200768,1,"Very High","Unlikely"
"225",225,"Female",34.7549732816406,"University","West",14500014.8003097,1,"Very High","Unlikely"
"226",226,"Male",23.6643351251259,"Doctorate","Central",37061009.8605707,1,"High","Likely"
"227",227,"Male",57.157166485209,"Postgraduate","North",26509807.4300138,0,"High","Very Unlikely"
"228",228,"Female",29.5672358074225,"Postgraduate","North",23864380.0231315,1,"Very High","Unlikely"
"229",229,"Male",59.2202922892757,"High School","Central",10634837.5135102,0,"Low","Unlikely"
"230",230,"Female",61.1941424775869,"High School","West",10745026.8942324,1,"Very Low","Very Unlikely"
"231",231,"Male",41.172731065657,"University","Central",15201210.2805722,1,"Very High","Indifferent"
"232",232,"Female",47.1535926046781,"High School","North",9763029.72208455,0,"Very Low","Very Unlikely"
"233",233,"Male",60.4145019529387,"University","Southeast",16702745.2392089,1,"High","Likely"
"234",234,"Female",28.3716687071137,"Postgraduate","West",23708217.4236338,1,"Very High","Likely"
"235",235,"Female",55.286583094392,"High School","Central",10388735.3640395,0,"Medium","Unlikely"
"236",236,"Male",29.9403012865223,"University","Central",13912751.0843869,1,"High","Very Likely"
"237",237,"Male",50.6947959321551,"University","Central",16055330.9709176,1,"Medium","Indifferent"
"238",238,"Female",23.7826955174096,"High School","Central",7077542.30623211,0,"High","Very Likely"
"239",239,"Male",60.6219683559611,"University","Southeast",16715355.1265798,1,"High","Very Likely"
"240",240,"Female",28.2939600185491,"High School","Central",7699261.95341321,0,"Medium","Unlikely"
"241",241,"Male",39.1041985834017,"University","West",14985547.3643543,0,"Low","Very Likely"
"242",242,"Male",44.55321292812,"High School","North",9528343.7844403,1,"Medium","Indifferent"
"243",243,"Female",53.3352466518991,"Postgraduate","North",26254115.9905726,1,"Medium","Very Unlikely"
"244",244,"Female",31.5240878062323,"Postgraduate","North",24112650.5288431,1,"Medium","Very Unlikely"
"245",245,"Female",56.2635409943759,"High School","Southeast",10454542.8285867,0,"Low","Very Likely"
"246",246,"Female",40.5998993725516,"High School","Southeast",9142084.67256612,1,"Very High","Unlikely"
"247",247,"Female",46.7355326768011,"High School","West",9725793.6782192,0,"Medium","Indifferent"
"248",248,"Male",51.5287014176138,"University","Southeast",16120087.3055342,1,"Very High","Unlikely"
"249",249,"Male",56.5002582096495,"University","West",16468168.9299961,0,"Very High","Indifferent"
"250",250,"Female",62.3935420899652,"High School","Southeast",10807117.4590524,1,"Very High","Very Unlikely"
"251",251,"Female",47.8922546054237,"High School","North",9826670.11974259,0,"Medium","Very Unlikely"
"252",252,"Female",23.0850900174119,"University","Southeast",12977534.2477564,1,"Very High","Unlikely"
"253",253,"Male",59.272060661111,"High School","West",10637536.0949714,0,"Very High","Unlikely"
"254",254,"Male",62.2832242944278,"Doctorate","North",40801259.8372626,0,"Medium","Very Unlikely"
"255",255,"Male",35.0716605042107,"University","North",14539989.3154069,1,"Medium","Very Unlikely"
"256",256,"Male",54.7881085132249,"High School","Central",10356640.8531656,1,"Low","Unlikely"
"257",257,"Male",26.8455614661798,"University","North",13504445.7547248,0,"Medium","Very Unlikely"
"258",258,"Female",35.4897800050676,"University","Central",14585791.9832682,0,"Medium","Indifferent"
"259",259,"Female",48.8483882090077,"Doctorate","Central",39906514.4265646,0,"Very High","Indifferent"
"260",260,"Male",34.2947107772343,"University","North",14447301.6280915,1,"Very High","Indifferent"
"261",261,"Female",39.021092438139,"University","Southeast",14976236.5048567,1,"High","Likely"
"262",262,"Female",30.0148516390473,"High School","Central",7922425.04138148,0,"Medium","Indifferent"
"263",263,"Male",48.1824414157309,"University","West",15849580.86637,1,"Low","Unlikely"
"264",264,"Male",56.1189682465047,"High School","Southeast",10445886.2470362,0,"Very Low","Very Unlikely"
"265",265,"Female",39.5338625493459,"Postgraduate","Central",25031744.6579562,0,"Medium","Indifferent"
"266",266,"Male",64.6543546766043,"High School","North",10915553.7443557,0,"Medium","Unlikely"
"267",267,"Female",52.0814334102906,"University","West",16160417.4352041,1,"Very High","Unlikely"
"268",268,"Male",37.843350273557,"University","West",14850212.0492549,1,"High","Indifferent"
"269",269,"Female",25.3092966997065,"Postgraduate","Central",23294778.104562,1,"Medium","Indifferent"
"270",270,"Male",46.3673911802471,"University","Central",15693686.6131391,0,"Medium","Very Unlikely"
"271",271,"Female",37.6927505433559,"High School","North",8833626.87060045,1,"Very High","Very Unlikely"
"272",272,"Female",32.9091363130137,"High School","West",8283163.58798326,0,"Medium","Unlikely"
"273",273,"Male",44.0507110981271,"University","Central",15481304.2861422,1,"Medium","Unlikely"
"274",274,"Female",41.4515344887041,"Postgraduate","North",25228651.7334529,1,"Very Low","Likely"
"275",275,"Female",46.9140321584418,"High School","Central",9741514.77989749,0,"High","Unlikely"
"276",276,"Male",64.7829661881551,"University","North",16920379.290985,0,"Medium","Very Unlikely"
"277",277,"Male",29.5760078504682,"University","West",13865146.6713228,0,"Medium","Unlikely"
"278",278,"Female",59.2287666727789,"Doctorate","Central",40634687.1689514,1,"Low","Unlikely"
"279",279,"Male",37.9705462618731,"University","Central",14864133.2268204,0,"Very High","Indifferent"
"280",280,"Male",58.8003523508087,"University","Central",16611453.8813422,0,"Very High","Indifferent"
"281",281,"Female",36.8457337608561,"High School","North",8740397.41304201,1,"Medium","Unlikely"
"282",282,"Female",56.4209376964718,"High School","West",10463562.8977775,0,"Low","Indifferent"
"283",283,"Male",57.633220532909,"High School","Central",10540459.8442768,1,"High","Indifferent"
"284",284,"Female",58.7909130845219,"University","North",16610928.2300901,1,"Medium","Indifferent"
"285",285,"Male",38.3368064472452,"High School","North",8903536.3593019,0,"Very Low","Indifferent"
"286",286,"Male",58.3113340609707,"Doctorate","North",40581869.2026027,1,"High","Unlikely"
"287",287,"Male",44.9275090410374,"University","Southeast",15562937.566434,1,"High","Very Likely"
"288",288,"Female",29.8498130301014,"High School","Central",7900810.9342798,0,"High","Very Unlikely"
"289",289,"Female",36.4901586524211,"Doctorate","West",38700672.9149851,1,"High","Unlikely"
"290",290,"Female",27.8176767830737,"High School","North",7634910.68095875,0,"Very High","Indifferent"
"291",291,"Male",47.1357175814919,"University","North",15762559.0534197,0,"Low","Indifferent"
"292",292,"Female",31.9162727207877,"High School","North",8160468.02591532,0,"Medium","Unlikely"
"293",293,"Female",29.3461777195334,"Doctorate","Central",37836164.1806897,1,"Low","Very Unlikely"
"294",294,"Female",48.8424954419024,"Doctorate","North",39906302.2798566,1,"High","Unlikely"
"295",295,"Female",26.3181717428379,"Doctorate","West",37432834.1821173,1,"Medium","Very Unlikely"
"296",296,"Female",48.7221903027967,"High School","North",9895692.85076143,1,"Very High","Very Likely"
"297",297,"Male",27.3977529797703,"University","North",13579544.8457088,1,"Low","Likely"
"298",298,"Female",35.607700758148,"University","West",14600601.1546326,1,"Very High","Unlikely"
"299",299,"Female",35.5287052560598,"High School","North",8590917.61969852,0,"Low","Unlikely"
"300",300,"Male",30.4027750515379,"Postgraduate","Central",23971903.4605321,1,"Medium","Unlikely"
"301",301,"Female",54.4778852425516,"High School","Central",10334879.022107,0,"Medium","Indifferent"
"302",302,"Male",49.8673759219237,"High School","North",9990495.52230406,0,"Low","Indifferent"
"303",303,"Female",28.5235835216008,"University","North",13728590.7642431,0,"Very High","Unlikely"
