"","id","name","host_id","host_name","neighbourhood_group","neighbourhood","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365"
"14",21399518,"Sunny room w/queen bed, prime Williamsburg.",6563906,"Lukasz","Brooklyn","Williamsburg",40.71318,-73.96038,"Private room",70,1,8,"2018-05-06",0.41,1,0
"15",22969068,"Pre War Brooklyn Row House Dream Backyard & deck",52525871,"Alia","Brooklyn","Clinton Hill",40.69375,-73.96697,"Entire home/apt",125,5,0,"",NA,1,0
"16",21864653,"Cozy Room for Rent in South Slope",33435096,"Francesca","Brooklyn","Sunset Park",40.6588,-73.99097,"Private room",50,2,44,"2019-06-28",2.29,1,298
"17",14330688,"Beautiful Crown Heights Pre-War 1 Bedroom",5158569,"Genevieve","Brooklyn","Crown Heights",40.6686,-73.93517,"Entire home/apt",115,2,7,"2019-01-01",0.21,1,0
"18",18847331,"Zen Private Rm with roof access in Upper Manhattan",7635592,"Adrienne","Manhattan","Washington Heights",40.85031,-73.93901,"Private room",49,7,10,"2019-06-01",0.46,1,76
"19",33217330,"Astoria Spacious Room 
All included,Great location",177673174,"Arber","Queens","Astoria",40.76553,-73.91353,"Private room",80,2,0,"",NA,1,0
"20",28871823,"Chic Modern Minimalism | Private Luxury Space",10320429,"Julie","Brooklyn","Bedford-Stuyvesant",40.69058,-73.94863,"Private room",72,2,37,"2019-06-30",3.94,1,18
"21",27551715,"Brand New Brooklyn Apartment",14049772,"Vanessa","Brooklyn","Dyker Heights",40.61968,-74.00656,"Entire home/apt",170,4,12,"2019-06-10",1.17,1,308
"22",16381905,"Skyline #1 view ny skyline",93121568,"Charles","Bronx","Concourse",40.82415,-73.92778,"Private room",50,2,63,"2019-07-01",2.06,2,110
"23",2361020,"URBAN CHIC VIDEO/PHOTO SHOOTS ONLY",5535265,"Krystal","Brooklyn","Bedford-Stuyvesant",40.68172,-73.93236,"Entire home/apt",500,1,11,"2015-10-20",0.19,1,365
"24",20053253,"Luxurious apartment-private bed & private bathroom",74314960,"Cristina","Brooklyn","Bedford-Stuyvesant",40.69182,-73.9436,"Private room",120,2,82,"2019-06-23",3.52,2,0
"25",5031539,"GORGEOUS 1BR IN MIDTOWN 1/15-1/19",25974544,"Patrick","Manhattan","Hell's Kitchen",40.76263,-73.9887,"Entire home/apt",350,1,0,"",NA,1,0
"26",9524033,"Cozy UWS private room",37606128,"Kristin","Manhattan","Harlem",40.80319,-73.95432,"Private room",60,1,6,"2016-07-04",0.14,1,0
"27",966104,"Private room in large 2 bed room",5268970,"Javier","Manhattan","East Village",40.72726,-73.97573,"Private room",75,3,51,"2018-11-25",0.7,1,127
"28",30043966,"Beautiful Bed-Stuy Brownstone on tree line block.",133723890,"Elle","Brooklyn","Bedford-Stuyvesant",40.6871,-73.92449,"Entire home/apt",125,3,20,"2019-06-24",2.58,1,339
"29",12268056,"BRIGHT, MODERN, PRIVATE BEDROOM BK",7119612,"Becky","Brooklyn","Bushwick",40.69897,-73.92705,"Private room",62,1,1,"2016-04-20",0.03,1,0
"30",18442569,"Artsy, bright and cozy 1 BR. 20 min to city.",6198836,"Dima","Brooklyn","Bushwick",40.70159,-73.92115,"Entire home/apt",93,30,1,"2017-06-24",0.04,1,45
"31",6400255,"Studio in Lux Building on UWS!",5707879,"Laura","Manhattan","Upper West Side",40.78017,-73.98317,"Entire home/apt",150,16,0,"",NA,1,0
"32",36115461,"Private Room In a Beautiful Tree-Lined Brownstone",24633205,"Joshua","Brooklyn","Bedford-Stuyvesant",40.6887,-73.93982,"Private room",50,1,1,"2019-06-30",1,1,27
"33",34338806,"Sunny, convenient and comfortable!",18270302,"Ameera","Manhattan","Upper East Side",40.77633,-73.95266,"Private room",94,4,2,"2019-06-10",1.3,2,77
"34",3685704,"Private Apt. in Brooklyn Brownstone + Garden",2640773,"Nick","Brooklyn","Bedford-Stuyvesant",40.68822,-73.94357,"Entire home/apt",95,2,116,"2019-05-29",2.18,1,226
"35",33554251,"seconds from subway, 30 min drive to city,solo tra",47504485,"Danny","Brooklyn","Bensonhurst",40.61225,-73.9815,"Private room",39,7,12,"2019-06-11",4.5,2,58
"36",26654670,"Cozy Room Great Price in Bushwick Bklyn! (Suite 2)",44123062,"Oscar","Brooklyn","Bushwick",40.68796,-73.90781,"Private room",45,4,47,"2019-07-02",4.37,4,20
"37",4263880,"Nice room available in modern Apt.",3609048,"Ken","Brooklyn","Crown Heights",40.67009,-73.9329,"Private room",75,2,25,"2016-10-09",0.43,3,365
"38",13112601,"Beautiful light and lots of space",13769025,"Alberto","Brooklyn","Bedford-Stuyvesant",40.69563,-73.95149,"Private room",43,1,0,"",NA,1,220
"39",24624070,"Private Bedroom in a Modern Building",181111992,"Van","Brooklyn","Flatbush",40.63076,-73.95851,"Private room",45,1,19,"2018-12-27",1.57,2,98
"40",6712618,"Big room 2 blocks from Central Park, UWS Manhattan",22651758,"Tiphaine","Queens","Sunnyside",40.74147,-73.91997,"Entire home/apt",85,1,2,"2015-09-08",0.04,1,0
"41",10386341,"Minutes to the Metro!!!",53468381,"Jeremy","Brooklyn","Bedford-Stuyvesant",40.69507,-73.94332,"Entire home/apt",125,2,202,"2019-06-24",4.76,1,276
"42",2835711,"Sunny West Village apt, 2 beds",3237504,"Aspen","Manhattan","Greenwich Village",40.73083,-74.0006,"Entire home/apt",150,3,33,"2019-05-31",0.52,1,107
"43",21125733,"Modern, Bright, Private Bklyn Room w/ 2 Beds",12632660,"Christopher","Brooklyn","Fort Greene",40.69211,-73.98102,"Private room",125,3,60,"2019-06-21",2.79,1,0
"44",30393099,"Handsome Tribeca Studio w/ Indoor pool + Gym by Blueground",107434423,"Blueground","Manhattan","Tribeca",40.71607,-74.00564,"Entire home/apt",305,30,1,"2019-03-15",0.26,232,274
"45",32721182,"Gorgeous Dumbo 2-Bedroom w/ Incredible Views",245805416,"Samantha","Brooklyn","DUMBO",40.70284,-73.99083,"Entire home/apt",375,3,2,"2019-06-27",2,1,242
"46",36455584,"Large studio at Union Square! for 3-5 ppl",50812891,"Molo","Manhattan","East Village",40.73231,-73.98689,"Entire home/apt",159,1,0,"",NA,1,166
"47",9945127,"Convenient & Spacious & Feel Good Apartment",14521821,"Koen","Brooklyn","Brooklyn Heights",40.69261,-73.99252,"Entire home/apt",200,2,2,"2016-07-25",0.05,1,0
"48",23989379,"Central Harlem Sanctuary for the Bookish Type(s)",180467103,"Chloé","Manhattan","Harlem",40.82847,-73.93701,"Entire home/apt",90,7,1,"2018-11-27",0.13,1,24
"49",30315979,"Easy charm in Fort Greene",1364105,"Jenny","Brooklyn","Fort Greene",40.69091,-73.97202,"Private room",119,2,28,"2019-06-29",3.94,1,3
"50",14231719,"XTRA LARGE~PRIME UPPER EAST SIDE-1ST AVE&EAST 86TH",2856748,"Ruchi","Manhattan","Upper East Side",40.7771,-73.9495,"Entire home/apt",200,30,0,"",NA,49,365
"51",9186894,"Cozy large and sunny bedroom in Greenpoint",6217827,"Krzysztof","Brooklyn","Greenpoint",40.73051,-73.95496,"Private room",80,2,2,"2016-05-16",0.05,1,0
"52",4781700,"Cool Room in NYC",24655252,"Gabriel","Manhattan","Hell's Kitchen",40.7637,-73.98985,"Private room",65,17,24,"2019-06-03",0.45,1,86
"53",14912574,"Spacious Living in Ditmas Park",107675,"Lio & Kim And Yotam","Brooklyn","Flatbush",40.64189,-73.96066,"Entire home/apt",100,3,4,"2019-03-22",0.12,1,69
"54",26138542,"Huge Cobble Hill BR w private bath city views",896708,"Kat","Brooklyn","Carroll Gardens",40.68288,-73.99799,"Private room",130,3,7,"2019-04-23",0.57,2,48
"55",22205284,"New place near D line easy to get to Manhattan",5853457,"Stanley","Brooklyn","Borough Park",40.64212,-73.9973,"Entire home/apt",149,2,27,"2019-06-16",1.47,4,308
"56",28284205,"Caribbean Home",213604115,"Jennifer","Brooklyn","East New York",40.66631,-73.86278,"Private room",40,2,17,"2019-06-23",1.68,1,334
"57",31474431,"Spacious Clean Quiet Master 1 min to Subway N Line",235302401,"Kin","Brooklyn","Sunset Park",40.64359,-74.01358,"Private room",49,1,8,"2019-06-15",1.67,3,164
"58",74404,"Luxury 3 bed/ 2 bath apt in Harlem w/ terrace",391325,"G & S","Manhattan","Harlem",40.80276,-73.9567,"Entire home/apt",250,14,31,"2012-08-22",0.31,1,78
"59",21926279,"The Tree House",6999831,"Erik","Brooklyn","Flatbush",40.64813,-73.9589,"Entire home/apt",90,2,8,"2018-07-24",0.42,1,0
"60",6766894,"Private room, Williamsburg Brooklyn",27103894,"Lee","Brooklyn","Williamsburg",40.70965,-73.94411,"Private room",115,1,0,"",NA,1,0
"61",21659702,"NEWLY RENOVATED HOME IN BUSHWICK / Best offer",146345538,"Sergii","Brooklyn","Bushwick",40.6951,-73.91157,"Shared room",30,30,5,"2018-10-04",0.25,5,365
"62",2683758,"City Life in Harlem",13736818,"John","Manhattan","Harlem",40.80494,-73.95638,"Entire home/apt",105,5,132,"2019-06-20",2.09,1,12
"63",749965,"Charming Brooklyn Abode",3905456,"Amber","Brooklyn","Flatbush",40.64294,-73.96016,"Entire home/apt",110,1,3,"2016-08-21",0.05,1,0
"64",9670233,"3 Bed - 3 Bath East Village Oasis w Private Patio",49970809,"Enzo","Manhattan","East Village",40.72846,-73.98987,"Entire home/apt",550,1,141,"2019-07-01",3.29,1,302
"65",10167860,"Sunny, Spacious Private BR in East Village!",21430239,"Edward","Manhattan","East Village",40.72828,-73.98901,"Private room",119,1,134,"2018-07-02",3.15,1,0
"66",31536758,"Gorgeous views from cleanly home in Lincoln Square",236349458,"Jeannette","Manhattan","Upper West Side",40.77714,-73.9881,"Private room",180,3,13,"2019-06-28",2.6,1,0
"67",28839265,"Cozy MasterBed Room Suite w/Jacuzzi Tub",10321540,"Steven","Queens","Bayswater",40.60845,-73.75861,"Private room",60,1,9,"2019-06-12",1.13,1,84
"68",32870169,"Spacious 1 Bedroom in the West Village",60668386,"Madison","Manhattan","West Village",40.73341,-74.00444,"Entire home/apt",197,2,3,"2019-06-27",3,1,2
"69",32306527,"RM#2-Bright room w/balcony 30 mins NYC & airports",241963980,"Deborah","Queens","Jamaica Hills",40.71686,-73.79742,"Private room",67,2,25,"2019-07-07",6.88,2,318
"70",30310672,"Jacuzzi 2-BR by Central Park/Museum Mile, Harlem",55817559,"Christienne","Manhattan","East Harlem",40.78748,-73.94779,"Private room",399,6,15,"2019-06-24",2.14,1,47
"71",9959328,"Beautiful, bright, serene Astoria 1 bedroom",51176545,"Jennifer","Queens","Astoria",40.77168,-73.9222,"Entire home/apt",189,1,0,"",NA,1,0
"72",10030920,"Artist Studio in Central Manhattan!",38204730,"Kathy","Manhattan","Gramercy",40.73652,-73.98458,"Private room",115,4,0,"",NA,3,249
"73",29418015,"Charming Private Room in Bed Stuy with 2 Beds",219544415,"Joel And Julian","Brooklyn","Bedford-Stuyvesant",40.69381,-73.94998,"Private room",70,2,14,"2019-04-25",1.61,3,365
"74",35305338,"Quiet neighborhood near many stores",265812351,"Siyen","Queens","Kew Gardens Hills",40.72608,-73.82038,"Entire home/apt",199,1,0,"",NA,1,364
"75",35321064,"A Peaceful getaway for individuals or couples.",182121197,"Katherine","Bronx","Kingsbridge",40.86493,-73.90315,"Private room",69,2,2,"2019-06-23",2,1,86
"76",22961758,"Amazing huge sunny room in the historical building",80331757,"Ivan","Brooklyn","Sheepshead Bay",40.60407,-73.95302,"Private room",50,2,13,"2019-03-10",1.38,1,71
"77",29095984,"Upper East Side Spacious 2 BR with Balcony",24230637,"Kartik","Manhattan","Upper East Side",40.77003,-73.95018,"Entire home/apt",199,20,0,"",NA,1,337
"78",34392044,"Lovely and affordable place in the Bronx",178924110,"Roukayatou","Bronx","Hunts Point",40.81258,-73.88566,"Private room",40,1,11,"2019-06-20",5.08,2,121
"79",490989,"Cat lovers: 3-story Park Slope Townhouse with cat!",2427385,"Andy","Brooklyn","Park Slope",40.67996,-73.98027,"Entire home/apt",68,3,2,"2017-03-29",0.05,1,0
"80",22379163,"Cozy room in a big apartment around Myrtle Ave",150891854,"Jiyoung","Brooklyn","Bedford-Stuyvesant",40.69178,-73.9369,"Private room",23,3,2,"2018-01-16",0.11,1,0
"81",25864717,"Studio - 5Mins to Times Square",37412692,"Kim","Manhattan","Midtown",40.76666,-73.98156,"Entire home/apt",200,30,0,"",NA,4,362
"82",15854548,"Great Brooklyn location next to subway and cafes",1939376,"Audrey","Brooklyn","Clinton Hill",40.68866,-73.96147,"Private room",48,20,24,"2019-05-01",0.78,1,304
"83",14787179,"Large private bedroom&bath 2 min. away from subway",92325527,"Barbara","Brooklyn","Williamsburg",40.71153,-73.94215,"Private room",100,2,124,"2019-07-03",3.65,1,58
"84",31035955,"Stunning Penthouse 2 bedrooms full city view",20862635,"Milan","Manhattan","Hell's Kitchen",40.7685,-73.99128,"Entire home/apt",400,4,17,"2019-07-06",2.73,1,0
"85",28459635,"Huge Brooklyn Bedroom",3771945,"Lindsay","Brooklyn","Bedford-Stuyvesant",40.69585,-73.93335,"Private room",50,2,3,"2019-05-04",0.32,1,0
"86",3727816,"Great place near Flushing Meadow",19044620,"Claudiu","Queens","Forest Hills",40.73538,-73.853,"Private room",80,1,2,"2014-10-22",0.03,1,0
"87",36149911,"Financial District,wall street,PV ROOM,FEMALE ONLY",87827436,"Camelia","Manhattan","Financial District",40.704,-74.00646,"Private room",90,24,0,"",NA,1,362
"88",17344027,"Relaxing Stylish Room near Train and Attractions",42024722,"Daniel","Manhattan","Chelsea",40.74462,-74.00139,"Private room",103,5,77,"2019-07-07",2.73,2,79
"89",16334336,"Modern Ridgewood Apartment!",105079063,"Manuel","Queens","Ridgewood",40.69857,-73.90618,"Private room",65,4,20,"2017-12-27",0.64,1,0
"90",20803845,"Newly Renovated Apartment in the Heart of Brooklyn",28341776,"Josh","Brooklyn","Park Slope",40.68117,-73.97785,"Private room",100,3,81,"2019-07-07",3.67,2,42
"91",7843582,"Spacious, Quiet One Bedroom Apt",1246073,"Josh","Brooklyn","Crown Heights",40.67042,-73.95677,"Entire home/apt",119,2,27,"2019-07-01",0.58,1,154
"92",10658613,"NYC designer loft amazing City view",2645592,"De & Claudia","Queens","Astoria",40.75666,-73.91449,"Entire home/apt",130,3,50,"2019-07-01",1.27,2,352
"93",20873536,"Kings Plz Mall, Flatbush Ave, 30 mins to Manhattan",149867246,"Medea","Brooklyn","Flatlands",40.62191,-73.93428,"Entire home/apt",130,2,35,"2019-07-05",1.59,2,357
"94",28737860,"Luxury Oasis in SoHo",333712,"Rose","Manhattan","SoHo",40.72205,-74.00121,"Entire home/apt",355,4,5,"2019-06-08",0.64,1,31
"95",3461872,"Private BR in 3 BR Apt - E. Harlem",5220670,"Jonathon","Manhattan","East Harlem",40.80278,-73.94001,"Private room",75,1,3,"2015-10-04",0.05,1,0
"96",32137426,"Perfect for two couples. Upper East Side apartment",3435092,"Elena","Manhattan","Upper East Side",40.78081,-73.94866,"Entire home/apt",175,4,12,"2019-07-01",3.91,3,231
"97",4725852,"Cozy home in south Williamsburg",405090,"Sacha","Brooklyn","Williamsburg",40.7119,-73.96377,"Entire home/apt",100,7,6,"2019-01-09",0.15,1,0
"98",9740264,"Bright Studio in Harlem Near Trains",11462920,"Ijeoma","Manhattan","Harlem",40.81788,-73.93583,"Entire home/apt",75,2,19,"2016-06-14",0.44,1,0
"99",794427,"Prospect Park Modern 3 Bedroom",4185135,"David","Brooklyn","Windsor Terrace",40.65875,-73.9766,"Entire home/apt",225,300,13,"2018-04-07",0.23,2,0
"100",6197119,"Sunny 1 bd -Prospect Park!",26908204,"Bridgette","Brooklyn","Crown Heights",40.66356,-73.95667,"Entire home/apt",90,4,59,"2019-06-26",1.17,1,28
"101",31381171,"JFK Studio Hideaway",47409152,"Sherra","Queens","St. Albans",40.68623,-73.76209,"Entire home/apt",125,1,9,"2019-06-17",1.65,1,344
"102",19387782,"Bright and Sunny Lower East Side Studio!",5180117,"Elise","Manhattan","Lower East Side",40.72034,-73.98617,"Entire home/apt",140,2,20,"2019-06-16",0.97,1,37
"103",21031177,"My Cozy Condo!
My apartment is very peaceful!",150665890,"Edna","Manhattan","East Village",40.72484,-73.9746,"Private room",100,2,0,"",NA,1,99
"104",25234477,"The Guesthouse Loft",39575865,"Alexandra","Manhattan","Upper East Side",40.77288,-73.94745,"Entire home/apt",175,7,0,"",NA,1,5
"105",17739111,"Living Room in 2 Bedroom Apartment Brighton Beach",119523037,"Anna","Brooklyn","Brighton Beach",40.58017,-73.9616,"Shared room",50,1,1,"2017-09-13",0.05,4,1
"106",4546034,"1BR by 1&A trains",23570593,"Joshua","Manhattan","Washington Heights",40.84769,-73.93512,"Private room",75,2,24,"2019-06-30",0.44,1,321
"107",28411950,"Large & Bright Bedroom in Astoria",214483779,"Jany","Queens","Astoria",40.76296,-73.92571,"Private room",75,2,4,"2018-10-28",0.42,1,164
"108",30707567,"Sunny, plant-filled & quiet Washington Heights apt",6769030,"Dina","Manhattan","Washington Heights",40.83477,-73.94293,"Private room",75,2,5,"2019-06-22",1.76,1,0
"109",28030557,"Cozy 2 bedroom NYC apartment near LGA Airport",151520943,"Kenny","Queens","East Elmhurst",40.76248,-73.86986,"Private room",110,1,52,"2019-03-30",4.92,1,365
"110",34470862,"Beautiful brand new studio/1BR",75566080,"Bar","Brooklyn","Williamsburg",40.71645,-73.95194,"Entire home/apt",175,4,2,"2019-06-24",2,1,71
"111",3283409,"Beautiful Brooklyn Brownstone",16593547,"Mary & Josh","Brooklyn","Bedford-Stuyvesant",40.68562,-73.92375,"Entire home/apt",139,2,124,"2019-06-25",2.09,1,231
"112",27926975,"Artsy Harlem room with quick access to everything",149639152,"Rahat","Manhattan","Harlem",40.81758,-73.94188,"Private room",65,2,22,"2019-06-29",2.06,1,275
"113",17360353,"Great spacious room in Stylish apt near Highline",42024722,"Daniel","Manhattan","Chelsea",40.7456,-74.00107,"Private room",100,5,66,"2019-07-01",2.37,2,99
"114",16289973,"Economy private room great location to Manhattan",92493393,"Eddie & Lois","Staten Island","West Brighton",40.63302,-74.11396,"Private room",55,2,64,"2019-06-07",2.04,5,348
"115",31428865,"Lil boho gem in Harlem city center",9637585,"Stephanie","Manhattan","Harlem",40.81049,-73.95311,"Private room",80,2,0,"",NA,1,36
"116",9854420,"Beautiful one bedroom in Soho",33889947,"Gautier","Manhattan","SoHo",40.72767,-74.00344,"Entire home/apt",200,2,20,"2017-04-24",0.48,1,0
"117",25036166,"BK NEST-Across Barclays & trains/City 10 mins away",187103481,"Carol","Brooklyn","Park Slope",40.68241,-73.97719,"Entire home/apt",160,2,39,"2019-06-21",3.02,1,246
"118",28801976,"Modern renovated Loft in the Heart of Williamsburg",1171704,"Vanessa","Brooklyn","Williamsburg",40.70475,-73.93522,"Entire home/apt",200,2,16,"2019-06-23",1.99,1,136
"119",25696,"1,800 sq foot in luxury building",107628,"Dena","Manhattan","Harlem",40.8092,-73.94421,"Private room",100,2,170,"2019-06-23",1.61,1,346
"120",31928439,"Private Pod in the heart of Brooklyn",384430,"Eric","Brooklyn","Midwood",40.62583,-73.96237,"Private room",120,30,0,"",NA,1,252
"121",34652761,"Entire 1 Bedroom Apartment with Rooftop Access",37426897,"Rosie","Brooklyn","Clinton Hill",40.69474,-73.96655,"Entire home/apt",100,1,6,"2019-06-24",4.19,1,80
"122",24336051,"UWS Gem by Lincoln Center, Julliard & Central Park",183617557,"Christine","Manhattan","Upper West Side",40.77598,-73.98917,"Entire home/apt",299,3,29,"2019-01-22",1.96,1,6
"123",11909622,"cozy bedroom in BedStuy Brooklyn",35362734,"Gregoire","Brooklyn","Bedford-Stuyvesant",40.67958,-73.92509,"Private room",62,1,0,"",NA,1,0
"124",13186804,"Park Avenue, Lux Svcd 1bd apartment in Murray Hill",22541573,"Ken","Manhattan","Murray Hill",40.74881,-73.98059,"Entire home/apt",268,30,0,"",NA,87,365
"125",11069291,"A quiet & cozy home for travelers—free st parking",57460097,"Pengfei","Queens","Elmhurst",40.73816,-73.88211,"Private room",55,1,63,"2019-04-07",2.92,1,21
"126",26598477,"Extra Large appartment in the heart of Manhattan",56338076,"Barbara","Manhattan","Harlem",40.81657,-73.93849,"Entire home/apt",250,1,19,"2019-06-03",1.62,3,0
"127",13494051,"Gorgeous Master Bedroom near City College",2571641,"Erika","Manhattan","Harlem",40.81733,-73.95384,"Private room",48,2,0,"",NA,3,0
"128",189787,"Spacious & Comfy BK Brownstone",915640,"Sundiata","Brooklyn","Crown Heights",40.66788,-73.94813,"Entire home/apt",99,4,90,"2019-06-30",0.94,1,56
"129",17944219,"Cozy bedroom, one block from Subway",10744966,"Moza","Manhattan","Upper East Side",40.77243,-73.95744,"Private room",300,2,10,"2017-09-02",0.4,1,0
"130",15963664,"Bedroom (#2) in beautiful apt near Central Park",21679450,"Vicky","Manhattan","Harlem",40.80251,-73.95765,"Private room",50,2,0,"",NA,2,0
"131",26489146,"A Great Room in Heart of NYC",519554,"Umut&Deniz","Manhattan","Lower East Side",40.72051,-73.98777,"Private room",69,3,1,"2019-05-20",0.6,5,270
"132",6274181,"Large, Bright & Airy 2BR Loft in ❤️of Williamsburg",32608639,"Randall","Brooklyn","Williamsburg",40.71544,-73.95552,"Entire home/apt",225,3,24,"2019-05-27",0.47,1,17
"133",22454710,"Luxury Doorman. Great location.",5863772,"Michael","Manhattan","Upper West Side",40.77077,-73.98481,"Entire home/apt",225,2,5,"2019-01-20",0.27,1,0
"134",35377489,"""HAPPYNEST"" CANARSIE",266322736,"Fernella","Brooklyn","Canarsie",40.64746,-73.90848,"Entire home/apt",110,2,2,"2019-06-30",2,1,87
"135",22279040,"Private Room (rm2), 5 mins from Columbia",21410914,"Eugene","Manhattan","Morningside Heights",40.81245,-73.95813,"Private room",200,3,30,"2019-06-10",1.84,6,1
"136",34912334,"Sunny Private 1BR Suite w/Kitchen/Bath @A/C Lines",81325020,"Matt & Crutch","Brooklyn","Bedford-Stuyvesant",40.67916,-73.92559,"Entire home/apt",85,3,3,"2019-06-22",2.05,3,43
"137",29799125,"1 bedroom within walking distance to Times Sq",57146691,"Andrew","Manhattan","Midtown",40.75514,-73.96746,"Entire home/apt",250,3,0,"",NA,1,0
"138",10782718,"Studio (200 square feet)",55785222,"Ryan","Queens","Astoria",40.76636,-73.90393,"Entire home/apt",75,1,0,"",NA,1,0
"139",31145076,"Modern comforts",66084717,"Tim","Brooklyn","East Flatbush",40.65079,-73.92527,"Entire home/apt",125,3,15,"2019-07-07",4.25,2,227
"140",30392517,"Cozy Studio in Charming Chelsea, Balcony, Doorman by Blueground",107434423,"Blueground","Manhattan","Chelsea",40.73774,-73.99725,"Entire home/apt",283,30,0,"",NA,232,337
"141",23106361,"★Spacious Private Room★ MANHATTAN + Close to Park!",171660157,"Del","Manhattan","Harlem",40.82748,-73.95083,"Private room",65,4,10,"2019-01-15",0.6,1,2
"142",3286369,"Close to JFK & LGA Feels like home",16608415,"Smidty","Brooklyn","East New York",40.67517,-73.89814,"Private room",135,1,173,"2019-07-02",4.69,3,162
"143",1989838,"Luxury 4 BD NYC Times Sq Apartment",3185905,"Patrick","Manhattan","Midtown",40.76316,-73.98109,"Entire home/apt",1500,1,0,"",NA,1,0
"144",5883159,"Beautiful One-Bedroom Apartment  Near Central Park",436365,"Jessica M.","Manhattan","Upper East Side",40.76813,-73.95354,"Entire home/apt",144,7,17,"2018-05-24",0.35,3,0
"145",21384941,"Great UWS alcove studio",11774785,"Greg","Manhattan","Upper West Side",40.79027,-73.97241,"Entire home/apt",135,2,0,"",NA,1,0
"146",169002,"Modern Space in Charming Pre-war",805344,"Alec","Manhattan","Harlem",40.82411,-73.94934,"Private room",65,2,41,"2019-06-16",0.43,2,59
"147",13572767,"Heart of Williamsburg 2 bedroom sleeps 5",69541888,"Edward","Brooklyn","Williamsburg",40.71758,-73.95015,"Entire home/apt",250,1,1,"2016-07-21",0.03,1,0
"148",171776,"Gorgeous 1 bdrm in huge duplex!",803086,"Benton","Manhattan","Harlem",40.80224,-73.94558,"Private room",170,2,17,"2015-10-01",0.18,2,88
"149",30314623,"Beautiful Midtown West 1BR Apt + Gym & Sky Deck!",163251048,"Jen","Manhattan","Hell's Kitchen",40.76171,-73.99793,"Entire home/apt",399,30,0,"",NA,8,129
"150",20529328,"Double Bed Private Retreat",1526757,"Lay","Brooklyn","Bedford-Stuyvesant",40.68576,-73.9456,"Private room",70,2,57,"2019-06-03",2.54,3,324
"151",4765659,"Beautiful live/work Brooklyn artists loft",24587457,"James","Brooklyn","Bedford-Stuyvesant",40.69776,-73.96006,"Private room",58,9,2,"2015-09-09",0.04,1,0
"152",16916510,"Cozy Room near Columbia University",11523011,"Tiara","Manhattan","Morningside Heights",40.80766,-73.96594,"Private room",60,30,7,"2018-07-10",0.27,2,246
"153",11219289,"A big Sunny Room.",58453451,"Michael","Brooklyn","East New York",40.67327,-73.8872,"Private room",33,1,147,"2019-07-02",4.08,2,231
"154",2367089,"Full Apt w/ large kitchen in UES",12092726,"Alice","Manhattan","Upper East Side",40.78092,-73.95162,"Entire home/apt",155,1,75,"2017-02-19",1.3,1,0
