"","drivers","age","gender","income","work_hours","distance","bonus","satisfaction","leaving"
"85",1,29,0,319102,8,72,17973,4,4
"86",1,33,1,238584,11,110,14804,2,2
"87",0,33,1,309174,8,75,33746,3,4
"88",0,31,1,278408,9,78,18925,2,2
"89",0,27,0,302353,8,48,10000,4,4
"90",0,31,1,301377,7,106,10000,4,5
"91",0,31,1,253237,8,25,53624,2,2
"92",1,28,1,324895,11,123,38001,2,2
"93",1,28,1,326905,8,108,20186,2,1
"94",0,32,1,310876,7,97,23610,4,4
"95",0,32,0,292309,6,96,10000,3,4
"96",1,31,0,439196,7,85,10000,4,3
"97",1,28,1,293304,10,76,40233,1,2
"98",1,31,1,364135,10,91,31623,3,3
"99",1,27,1,487928,11,95,10000,5,4
"100",1,29,1,426485,11,95,12549,3,4
"101",1,32,0,338669,11,61,12253,4,5
"102",0,27,1,285949,8,73,45872,3,4
"103",0,34,1,294592,7,79,37060,3,5
"104",0,33,1,300820,10,29,23699,4,5
"105",0,28,0,261592,7,102,40193,3,4
"106",1,30,1,386514,11,77,27918,5,4
"107",1,31,1,330081,11,78,13428,1,3
"108",1,32,0,351897,9,79,32515,3,4
"109",1,32,1,292649,9,97,30555,1,3
"110",0,30,1,297520,9,62,25360,3,2
"111",1,29,1,403733,11,99,29105,5,5
"112",0,30,1,309369,8,88,58516,3,4
"113",1,33,1,391372,8,94,18471,5,5
"114",0,33,1,258213,6,82,10000,3,4
"115",0,36,1,276554,6,91,14384,3,2
"116",1,30,0,351020,9,95,22047,3,4
"117",0,30,1,304168,6,78,26164,4,4
"118",1,29,1,288863,9,95,31609,3,5
"119",1,31,1,311073,11,52,19283,3,4
"120",1,32,1,275866,10,64,12514,5,3
"121",0,29,1,302378,7,87,34313,3,3
"122",1,32,1,339844,8,82,23040,2,2
"123",1,30,1,391401,8,71,22731,4,1
"124",0,33,1,257140,8,61,91406,3,3
"125",0,29,1,214289,10,13,10000,3,3
"126",1,31,1,309319,10,58,32225,5,3
"127",0,26,1,283803,10,74,28179,2,2
"128",1,34,1,391630,9,83,12828,1,2
"129",0,28,1,356528,9,124,73112,2,5
"130",1,27,0,407340,12,123,15603,3,2
"131",0,28,1,301877,9,84,10000,2,2
"132",0,33,0,286342,9,97,42868,2,5
"133",0,30,1,345149,8,38,16817,3,3
"134",0,30,1,321727,9,101,71766,3,4
"135",1,29,0,372943,10,94,18469,3,5
"136",0,28,1,289373,8,36,40854,5,5
"137",1,28,0,373553,9,69,35639,3,3
"138",1,31,1,344931,9,68,23527,3,3
"139",1,26,1,382549,8,68,10000,4,5
"140",0,29,1,288206,8,97,32071,3,2
"141",0,29,1,291057,8,58,10000,3,4
"142",1,31,1,389272,10,96,17677,2,2
"143",0,27,1,276933,7,58,10000,3,4
"144",0,31,1,247340,6,49,10000,4,4
"145",0,31,0,325460,10,58,24099,4,4
"146",1,33,1,355287,9,78,10000,1,2
"147",0,31,0,258942,9,53,29662,2,2
"148",0,32,1,252393,9,88,55954,2,3
"149",1,30,1,387126,9,95,29001,5,4
"150",1,31,1,414265,8,96,20716,4,3
"151",1,32,0,280699,10,53,10000,3,4
"152",1,30,0,230792,9,67,17362,3,4
"153",0,32,0,285504,9,87,67732,4,3
"154",0,31,1,214006,8,79,21842,3,3
"155",1,30,1,433962,8,75,10898,2,2
"156",0,32,1,303592,7,117,10000,3,4
"157",1,30,1,433349,10,61,30545,2,3
"158",1,33,1,294238,9,103,19251,5,4
"159",1,32,1,329198,10,57,11021,2,3
"160",1,31,1,314911,10,76,10000,4,2
"161",0,30,1,223152,7,90,24175,2,3
"162",1,31,1,298982,8,96,10000,2,4
"163",1,28,1,355284,9,66,10000,1,1
"164",1,32,1,344915,10,113,15136,1,3
"165",0,30,1,288304,9,89,41268,4,3
"166",1,31,1,357985,12,63,22962,2,2
"167",0,31,1,291538,9,59,20045,1,1
"168",1,37,0,292162,7,111,10000,4,4
"169",1,36,1,250276,10,102,23612,3,4
"170",1,28,0,309792,11,51,33989,3,5
"171",1,31,1,431735,10,87,10000,2,2
"172",0,29,0,344614,6,82,10000,2,3
"173",1,32,1,303143,9,105,12417,3,5
"174",1,29,1,414460,12,95,17470,4,4
"175",0,32,1,322014,7,77,33158,1,3
"176",0,30,0,286399,8,96,10000,4,4
"177",1,30,1,433162,12,87,21616,4,3
"178",1,26,0,371330,8,88,19127,4,3
"179",0,31,1,261683,8,80,10000,2,1
"180",1,33,1,330009,11,91,33067,2,1
"181",0,33,0,233169,9,148,10000,3,3
"182",1,26,1,366096,10,119,17042,2,2
"183",1,33,1,399453,10,90,20695,4,4
"184",1,33,1,335920,9,71,27032,5,3
"185",1,33,0,339393,9,105,28320,1,2
"186",1,29,1,298128,11,70,26300,5,4
"187",1,34,1,370892,11,75,11937,2,3
"188",1,29,1,367967,11,77,14490,1,3
"189",1,31,1,319519,10,60,10564,1,2
"190",1,33,1,426843,12,82,23202,2,3
"191",0,32,0,221868,8,92,14400,4,3
"192",0,30,1,281563,8,64,27405,4,4
"193",0,31,1,276300,6,116,20967,4,3
"194",1,30,1,330984,9,74,31840,1,2
"195",0,31,1,299380,8,52,32441,4,1
"196",0,31,1,288116,7,95,60971,3,4
"197",1,26,1,385673,7,79,33625,3,4
"198",0,31,1,283252,7,67,50147,4,3
"199",0,31,1,294584,9,107,10000,3,5
"200",1,33,1,333257,9,103,36101,3,5
"201",0,29,1,249276,8,13,27582,4,4
"202",0,31,1,264358,9,63,15956,5,4
"203",0,31,0,251882,6,48,51059,5,5
"204",1,29,1,352850,11,104,19721,1,2
"205",0,28,1,270340,7,82,12570,3,4
"206",0,29,0,284411,8,105,52717,3,4
"207",0,31,0,236340,7,115,22619,4,4
"208",1,32,1,360706,12,95,13573,3,3
"209",1,28,1,282003,7,92,21438,3,3
"210",1,27,1,430588,10,114,19877,3,2
"211",0,31,1,316117,8,106,10000,4,4
"212",0,31,1,236245,7,53,10000,3,5
"213",0,30,1,306219,8,46,18522,2,2
"214",0,28,0,291783,7,48,14983,2,5
"215",1,28,1,352963,9,75,35315,5,5
"216",0,31,1,267972,7,54,45401,4,3
"217",0,29,1,216887,7,100,54148,4,4
"218",1,28,0,335620,8,80,17002,1,2
"219",1,31,1,316348,12,120,15538,5,2
"220",0,31,1,285818,8,91,17889,2,4
"221",1,29,0,307498,8,85,10000,4,4
"222",1,30,0,423088,9,94,15060,4,2
"223",0,30,0,267349,7,66,45699,3,5
"224",1,31,1,376754,8,113,13032,1,2
"225",1,34,1,319966,8,64,52056,1,2
"226",0,31,1,355356,9,90,10000,2,2
"227",0,32,1,252249,8,132,18130,4,5
"228",1,29,1,373482,8,73,25698,3,4
"229",0,28,1,347753,8,115,47441,3,2
"230",1,27,0,333976,10,99,10000,2,3
"231",1,26,0,259008,11,65,25802,5,3
"232",0,31,1,293126,10,80,57148,1,2
"233",0,31,1,266090,9,86,10000,3,5
"234",0,28,1,322990,9,61,10000,3,4
"235",0,29,1,271206,10,73,10000,3,4
"236",0,28,0,262898,8,102,53749,2,2
"237",1,29,1,262791,8,75,42594,1,3
"238",0,29,1,222398,8,16,54050,4,4
"239",0,26,1,263309,8,97,10000,2,2
"240",1,31,1,329558,9,94,25541,1,3
"241",0,29,1,289604,9,87,10000,3,3
"242",0,32,1,291999,8,120,12810,5,4
"243",1,31,0,287286,9,85,10000,2,3
"244",0,28,1,250835,6,65,76659,3,3
"245",0,29,1,226103,8,120,33542,4,3
"246",1,30,1,312938,10,95,26529,5,3
"247",0,31,1,286563,8,107,20178,3,3
"248",0,31,0,292769,7,60,47048,1,3
"249",1,29,0,372000,9,102,15772,3,1
"250",1,28,1,366600,10,97,26269,3,1
"251",1,30,0,424630,11,58,17583,2,2
"252",0,32,1,305284,10,69,10000,5,4
"253",1,31,1,415984,7,63,21421,2,2
"254",0,28,1,238237,9,65,10000,5,5
"255",1,32,1,285859,13,110,10000,2,1
"256",0,29,1,314303,10,37,15640,4,4
"257",1,32,1,351652,10,107,10000,3,4
"258",1,32,0,336403,12,63,35253,1,1
"259",0,28,0,329615,8,88,20741,2,5
"260",0,32,1,244859,9,106,25424,1,2
"261",0,25,1,279125,8,124,15523,4,2
"262",1,32,1,432540,8,80,23941,4,5
"263",0,31,1,274030,9,73,30763,5,3
"264",0,31,0,265260,8,69,71358,3,4
"265",1,30,1,394918,10,107,15662,3,3
"266",1,26,1,311165,8,88,34240,3,4
"267",1,28,1,291780,10,67,23371,1,3
"268",0,31,1,305690,10,47,31558,4,5
"269",0,28,1,307486,7,61,13329,3,5
"270",0,27,1,332968,9,68,10000,3,2
"271",1,31,1,252267,10,59,10000,5,5
"272",1,32,1,323492,11,96,16747,3,4
"273",1,31,1,340275,8,84,30102,2,2
"274",0,30,1,307326,7,75,10000,4,4
"275",0,27,1,275730,8,117,55291,3,4
"276",1,34,1,396479,10,89,17551,1,3
"277",0,28,1,286710,9,69,10000,4,4
"278",1,25,1,300719,12,102,12323,5,5
"279",0,29,1,255464,7,110,58168,4,4
"280",1,31,1,337784,9,82,17658,3,5
"281",1,31,1,289413,10,93,10299,5,3
"282",1,29,1,392509,9,94,23150,3,5
"283",0,32,0,301731,11,42,66077,3,4
"284",0,26,1,234564,8,45,46349,5,3
"285",0,32,1,279351,7,104,40294,1,2
"286",1,29,1,353204,7,57,28049,3,4
"287",0,30,1,249966,7,115,10000,2,1
"288",1,30,1,235035,11,110,27176,4,4
"289",1,30,0,338726,10,79,21164,4,1
"290",1,32,1,205509,13,102,28022,1,4
"291",0,26,1,242198,8,86,24590,4,4
"292",0,28,0,196274,7,79,14515,4,4
"293",0,29,1,243175,7,96,17485,2,3
"294",1,28,1,383781,8,92,34940,3,3
"295",0,28,1,244301,8,59,10000,3,4
"296",0,31,1,272978,8,124,10000,4,4
"297",1,33,0,346895,8,70,38168,3,3
"298",1,30,1,296163,9,68,29653,3,1
"299",0,32,1,317445,8,100,55446,3,4
"300",0,28,0,236121,7,107,65415,3,3
"301",0,31,1,366139,7,80,20070,3,1
"302",1,30,1,397576,10,96,38720,2,1
"303",0,25,1,314005,8,107,37513,4,3
"304",0,31,1,307764,7,75,25876,3,4
"305",1,31,0,354863,9,86,30037,4,4
"306",0,31,1,292672,9,91,26232,3,3
"307",1,31,1,524732,7,111,28931,4,4
"308",1,32,1,282992,12,81,18677,3,3
"309",1,31,1,375339,11,63,10000,3,1
"310",0,28,1,302629,9,32,26990,4,4
"311",1,32,1,352980,11,90,21102,1,2
"312",1,27,1,365567,8,61,22050,3,3
"313",1,30,1,359708,10,82,18280,4,4
"314",1,28,1,426204,11,86,26040,5,4
"315",1,30,0,253910,9,80,27586,4,2
"316",1,29,1,328458,11,87,19326,2,3
"317",0,30,1,238002,7,88,10000,2,3
"318",1,27,0,366631,10,109,10000,1,2
"319",0,30,1,235212,7,79,20736,4,3
"320",0,27,1,298764,8,108,10000,1,2
"321",1,26,0,329259,11,83,31187,4,2
"322",0,32,0,287130,8,33,33266,3,5
"323",0,28,1,242243,6,97,37343,3,5
"324",1,33,0,223513,9,81,20494,4,5
"325",0,33,1,289186,7,30,44960,3,4
"326",0,27,1,291724,9,110,84825,4,3
"327",0,31,1,288212,9,91,37365,4,4
"328",1,31,1,496239,11,84,19029,3,4
"329",1,29,1,300661,10,91,15044,2,2
"330",0,33,1,218826,9,87,13777,4,5
"331",0,31,0,251502,8,78,10000,3,4
"332",1,31,1,249855,10,77,10000,1,2
"333",1,31,1,443918,10,74,13393,2,2
"334",1,30,1,444438,8,69,10000,2,1
"335",1,30,1,314950,9,80,20873,1,3
"336",1,27,1,311458,8,83,22438,1,1
"337",0,30,0,271245,9,54,47346,1,3
"338",0,29,0,252946,10,63,32578,3,5
"339",1,29,0,286095,9,102,20062,4,4
"340",0,29,0,399967,7,110,31884,5,4
"341",1,31,1,373708,13,92,30188,4,3
"342",0,28,1,262571,8,76,10000,3,5
"343",0,31,1,324687,9,74,20666,2,2
"344",1,33,1,232348,9,63,18236,3,4
"345",1,27,0,380504,10,85,25457,2,1
"346",0,33,1,210763,9,87,33249,1,1
"347",0,29,0,335141,7,119,29401,4,4
"348",1,31,1,344959,10,81,10000,5,5
"349",0,31,1,295349,8,80,27151,2,3
"350",0,33,1,329290,7,91,10000,3,4
"351",0,27,1,282737,6,73,76872,3,4
"352",1,30,1,380253,10,44,30678,3,3
"353",1,30,0,331572,12,85,21543,1,2
"354",0,31,1,310051,9,90,55765,2,2
"355",0,29,0,243815,7,44,31633,3,4
"356",0,31,0,340084,9,78,58270,4,1
"357",0,30,0,290843,7,107,10000,3,3
"358",1,30,0,369395,10,78,12339,3,1
"359",1,32,1,298952,12,74,13627,1,1
"360",0,30,1,251768,9,83,29610,4,5
"361",0,34,1,263361,7,77,10000,2,4
"362",0,33,1,244138,7,65,10000,3,3
"363",1,28,0,349896,9,90,16175,1,3
"364",0,31,0,310638,8,37,10000,5,4
"365",0,28,1,241448,9,38,24970,4,3
"366",1,29,1,244306,9,41,10000,5,3
"367",1,28,1,470496,9,70,29860,4,3
"368",1,31,0,315822,10,93,25929,2,2
"369",1,34,1,446398,11,85,25361,2,3
"370",1,32,1,253720,9,79,18856,4,3
"371",1,32,1,341439,10,76,11078,3,1
"372",1,29,1,255122,7,111,28526,3,5
"373",1,33,0,328766,9,115,22278,2,4
"374",0,30,1,304508,9,100,30442,4,3
"375",0,32,1,282292,9,84,18678,4,4
"376",0,30,1,349147,6,68,43242,2,3
"377",0,33,1,319212,7,84,64884,2,1
"378",0,26,1,296388,7,92,11517,4,4
"379",1,31,1,372700,9,73,37000,5,3
"380",1,27,1,305882,10,98,15951,4,3
"381",0,26,1,255619,8,53,21016,5,4
"382",1,29,1,313529,7,78,33679,4,5
"383",1,31,0,323079,13,76,10000,2,2
"384",1,27,1,301192,10,89,46445,5,4
"385",1,27,1,353731,10,88,10000,3,4
"386",0,29,1,303998,7,85,54428,3,4
"387",1,30,1,222616,10,87,27656,3,3
"388",1,32,1,369631,10,72,21147,3,5
"389",0,35,0,188167,9,95,64128,5,3
"390",0,30,1,223459,9,94,45981,2,2
"391",1,33,0,342564,8,76,14045,1,2
"392",1,29,1,301505,11,116,34259,2,3
"393",0,31,0,256280,6,70,35219,2,1
"394",0,31,0,278458,8,73,10000,4,2
"395",1,30,1,399239,12,99,25894,2,2
"396",1,31,1,236422,10,110,15600,2,3
"397",0,30,1,269574,9,48,10000,3,4
"398",1,26,0,335096,8,60,15174,2,2
"399",1,27,1,361450,9,104,36562,2,2
"400",0,29,0,234145,9,115,12608,3,3
"401",1,31,1,317707,10,76,20519,4,4
"402",0,31,0,265762,9,46,82798,3,4
"403",0,29,1,248481,10,74,19499,2,5
"404",0,27,1,251537,6,86,40298,2,4
"405",0,32,1,241197,8,84,38139,3,3
"406",0,30,1,317952,7,121,21893,3,5
"407",1,30,0,404737,10,95,21928,2,2
"408",0,29,1,296577,9,85,25038,3,5
"409",0,27,0,330254,8,86,56983,4,3
"410",0,33,1,236091,7,69,16771,4,4
"411",0,31,1,266745,6,98,45239,3,3
"412",1,29,0,395738,11,45,15144,2,3
"413",0,29,1,182845,8,113,10000,3,5
"414",1,30,1,151024,10,83,31185,2,2
"415",1,31,1,264668,8,107,18224,2,2
"416",1,32,0,368057,10,96,10000,1,4
"417",0,29,1,219293,9,55,34000,3,2
"418",1,31,0,437149,8,64,15785,4,3
"419",1,33,1,378453,9,53,10000,3,4
"420",0,33,1,262919,8,105,10000,2,3
"421",0,33,0,238973,8,75,44727,2,2
"422",0,32,1,214212,6,43,10000,5,3
"423",1,34,1,274726,9,93,10000,4,3
"424",1,27,1,386804,9,74,19402,5,3
"425",1,29,1,477061,10,83,36818,4,5
"426",1,31,1,433346,12,70,10000,2,2
"427",0,27,1,365895,8,45,42791,4,3
"428",0,30,1,314153,7,83,60776,3,2
"429",0,30,1,273059,9,107,46859,4,4
"430",1,30,1,324470,12,110,31393,4,4
"431",1,31,1,353037,9,42,19245,3,5
"432",0,30,0,333174,9,21,10000,3,5
"433",1,29,1,319569,9,95,25800,4,4
"434",0,33,1,356966,8,64,95878,4,4
"435",1,33,1,318323,10,109,10000,4,2
"436",1,31,1,435064,12,60,11359,1,1
"437",1,31,1,208580,13,98,22257,3,3
"438",1,28,0,335232,11,88,21324,4,2
"439",0,29,1,280588,9,120,10000,3,3
"440",0,28,1,236368,10,42,42222,2,3
"441",1,29,1,373064,10,62,20000,2,3
"442",1,28,1,433201,10,77,25887,3,1
"443",0,27,1,373103,6,92,34460,4,4
"444",0,29,1,185408,9,73,62015,4,3
"445",0,30,1,289702,9,39,35909,2,4
"446",1,30,0,337286,13,87,33567,1,5
"447",1,29,1,437281,12,87,10000,2,3
"448",1,32,0,298491,9,97,19992,2,3
"449",0,32,0,235253,7,95,25305,3,3
"450",1,27,1,429410,12,63,10000,2,2
"451",0,29,1,308017,8,80,10000,2,1
"452",1,29,1,416296,11,116,28232,5,3
"453",0,31,1,325234,6,74,34188,2,3
"454",1,30,1,352283,11,78,20238,4,3
"455",0,27,1,252757,10,70,10000,4,4
"456",1,31,0,292176,9,100,21259,1,3
"457",0,33,1,274839,8,70,56884,3,3
"458",1,30,1,320407,12,62,24638,2,3
"459",1,27,1,366010,10,122,17528,3,4
"460",0,33,0,295019,10,90,10000,5,4
"461",1,29,1,357521,13,51,10000,2,3
"462",1,29,0,335472,9,91,14930,4,4
"463",1,31,1,377430,9,101,30287,3,5
"464",0,30,1,304545,8,90,56458,5,3
"465",1,31,1,405196,12,82,17204,2,5
"466",0,26,1,260076,9,66,10000,5,1
"467",1,35,0,292861,11,81,24256,2,3
"468",1,30,1,305965,9,97,12227,4,4
"469",1,31,1,338676,8,99,37499,3,4
"470",0,30,1,213737,8,58,13511,4,3
"471",1,33,1,317135,10,112,13004,3,4
"472",0,31,1,246000,9,79,10000,3,4
"473",0,29,0,281447,9,77,10000,4,5
"474",1,31,1,371575,11,55,10807,4,4
"475",0,30,0,290644,9,47,55002,2,3
"476",0,29,1,302689,10,85,10000,3,4
"477",0,30,1,347461,7,38,52455,4,3
"478",1,32,1,292013,9,107,20225,1,1
"479",0,34,0,333193,7,100,10000,5,5
"480",1,29,1,411786,12,75,32492,5,4
"481",1,31,0,300886,7,129,37780,2,3
"482",0,29,1,281379,6,98,10000,4,4
"483",1,31,1,445210,9,86,10000,2,2
"484",0,28,1,216695,9,106,10000,4,4
"485",0,34,1,269964,9,74,25750,2,2
"486",0,30,0,227492,6,72,10000,3,3
"487",0,32,1,305346,10,135,10000,4,5
"488",0,28,0,298535,9,64,24316,3,5
"489",1,32,1,397053,11,70,29818,2,4
"490",0,29,1,231452,7,69,10000,2,1
"491",1,29,0,267867,10,96,23049,4,4
"492",1,28,1,295774,8,81,11227,2,2
"493",1,31,1,251170,10,68,19945,1,3
"494",0,25,0,299744,9,64,10000,3,4
"495",0,32,1,308360,9,107,43882,3,3
"496",0,28,1,305267,8,76,25479,2,1
"497",1,33,0,361600,10,109,10000,2,4
"498",0,31,1,292697,9,73,70487,4,3
"499",1,30,1,239814,9,95,10000,3,3
"500",1,28,0,375224,10,90,20491,4,4
"501",0,31,1,258517,10,84,10000,2,2
"502",1,31,1,331431,7,59,25328,1,2
"503",1,29,0,388279,10,92,29019,2,3
"504",1,30,1,290894,12,74,21994,1,3
"505",0,32,0,256049,9,42,10000,4,2
"506",1,35,0,359740,10,92,11981,1,3
"507",0,31,1,290886,8,25,63764,4,5
"508",0,31,1,292333,6,72,111133,3,3
"509",1,29,1,275444,10,104,10000,5,2
"510",0,32,1,277679,9,94,10000,3,4
"511",1,25,1,335886,9,99,10000,4,4
"512",1,30,0,290132,11,73,20132,5,1
"513",1,31,0,367423,10,65,10000,4,5
"514",0,32,1,298926,10,86,38283,2,3
"515",0,32,1,304137,8,83,19174,3,5
"516",1,26,1,360011,12,66,10000,1,3
"517",0,30,1,282411,7,42,53670,2,3
"518",0,28,1,202770,7,116,40716,3,4
"519",1,26,1,430458,8,75,34189,3,4
"520",0,27,1,269787,7,50,10000,2,2
"521",0,32,1,255896,9,90,15177,1,2
"522",1,30,0,393030,9,102,16852,2,3
"523",1,29,0,478563,9,82,25845,1,2
"524",1,27,1,349274,10,85,24431,1,1
"525",1,32,1,266924,12,88,10771,1,2
"526",1,29,1,438301,9,69,38351,3,4
"527",1,30,1,321795,9,74,20037,3,4
"528",0,30,1,319375,10,87,34133,2,1
"529",1,33,1,259896,10,92,25960,3,3
"530",1,32,1,402740,12,104,10000,1,4
"531",1,29,1,396710,9,116,39150,1,2
"532",0,29,0,267230,9,79,10000,4,4
"533",0,31,0,247194,8,95,10000,4,3
"534",0,27,1,247015,7,99,32241,2,2
"535",0,31,1,295926,9,79,10000,2,2
"536",0,36,1,274495,9,97,10000,4,2
"537",0,26,1,286408,8,74,43951,3,4
"538",1,31,1,284374,9,90,22194,5,4
"539",1,28,0,392680,12,104,13465,4,4
"540",1,32,1,380171,10,74,37220,3,3
"541",0,29,1,271265,8,115,12098,4,4
"542",1,27,1,364181,9,98,14612,4,5
"543",0,27,0,261344,8,73,32473,4,1
"544",1,30,1,341023,12,79,35425,3,5
"545",1,28,0,283558,10,81,40670,2,2
"546",0,33,1,283366,7,84,10000,3,5
"547",0,31,0,264476,10,67,40197,3,4
"548",0,33,1,252861,6,105,27796,3,5
"549",1,31,1,286481,9,83,10000,2,2
"550",0,30,1,279749,10,92,10000,3,4
"551",1,31,1,381978,13,86,10177,4,1
"552",0,32,1,300486,8,56,17149,3,4
"553",1,30,1,306410,11,94,21980,5,3
"554",0,29,1,223718,7,105,21857,3,4
"555",1,30,0,281349,9,104,30627,2,2
"556",0,33,1,331923,9,72,15758,3,5
"557",0,31,1,259886,9,53,24872,3,1
"558",1,32,1,279895,11,82,16483,1,1
"559",1,30,1,388189,11,109,18157,4,5
"560",1,32,1,309549,9,104,31604,1,2
"561",1,32,0,300657,10,77,10000,4,5
"562",0,28,1,380835,7,84,40936,5,3
"563",1,34,1,331324,10,75,18860,5,3
"564",0,30,0,267638,10,65,11691,4,1
"565",1,30,1,413783,10,76,16639,2,3
"566",1,30,1,377483,9,125,15082,3,3
"567",0,29,1,284972,8,96,10000,3,5
"568",0,31,1,252663,8,63,10000,2,3
"569",1,31,1,423537,9,95,10000,2,2
"570",0,26,1,241232,9,65,10000,5,2
"571",0,27,1,312711,10,34,23586,2,1
"572",1,27,0,329750,10,104,18902,3,5
"573",1,27,1,280214,10,76,21427,3,3
"574",1,27,1,359090,12,108,25627,3,4
"575",0,26,1,257256,11,64,35466,4,4
"576",1,31,1,218656,11,84,26059,3,5
"577",1,27,1,353718,10,66,19550,3,2
"578",1,26,1,249341,7,84,25535,1,2
"579",0,27,1,263015,10,119,10000,4,5
"580",1,28,1,335216,10,80,10000,5,4
"581",0,31,0,307033,8,66,17364,4,4
"582",1,28,0,365439,8,93,22315,1,2
"583",0,28,1,227721,7,107,18689,3,4
"584",0,32,1,256677,10,43,28594,3,4
"585",0,31,1,206742,11,60,49715,4,5
"586",0,29,1,294139,9,47,59370,5,4
"587",1,29,1,364730,13,79,10000,3,4
"588",1,32,1,392071,12,78,18706,3,4
"589",0,28,1,246682,8,119,54548,5,2
"590",0,31,1,293060,9,69,23249,5,4
"591",1,35,0,290948,8,36,41843,5,3
"592",0,32,1,249202,9,48,38228,3,5
"593",1,31,1,319131,11,77,15189,2,2
"594",1,28,1,359368,11,83,15294,2,2
"595",0,30,1,266573,8,127,10000,4,4
"596",1,30,1,306921,9,94,10000,1,4
"597",0,30,0,341904,10,81,74608,3,4
"598",0,31,1,267373,9,176,88604,3,3
"599",1,31,1,350874,8,84,10000,3,4
"600",1,33,0,418070,8,93,34067,3,5
"601",0,30,0,275488,9,117,22990,4,3
"602",1,34,1,319029,10,93,23372,1,3
"603",1,30,1,294731,9,73,11867,5,4
"604",0,33,0,166716,9,96,42786,4,3
"605",0,31,1,233564,8,55,25355,4,5
